"","tmean_percent_normal","max_depth_m","Predicted"
"1",0.855079,1.8,1.35176912343204
"2",0.872565385714286,1.8,1.35176912343204
"3",0.890051771428572,1.8,1.35176912343204
"4",0.907538157142857,1.8,1.35176912343204
"5",0.925024542857143,1.8,1.35176912343204
"6",0.942510928571429,1.8,1.35176912343204
"7",0.959997314285714,1.8,1.35176912343204
"8",0.9774837,1.8,1.35176912343204
"9",0.994970085714286,1.8,1.40595919480329
"10",1.01245647142857,1.8,1.39904195320748
"11",1.02994285714286,1.8,1.39904195320748
"12",1.04742924285714,1.8,1.39904195320748
"13",1.06491562857143,1.8,1.39904195320748
"14",1.08240201428571,1.8,1.39904195320748
"15",1.0998884,1.8,1.39904195320748
"16",1.11737478571429,1.8,1.39904195320748
"17",1.13486117142857,1.8,1.41372002039053
"18",1.15234755714286,1.8,1.43358334434945
"19",1.16983394285714,1.8,1.48553290801149
"20",1.18732032857143,1.8,1.48553290801149
"21",1.20480671428571,1.8,1.58553336702098
"22",1.2222931,1.8,1.58553336702098
"23",1.23977948571429,1.8,1.58553336702098
"24",1.25726587142857,1.8,1.58553336702098
"25",1.27475225714286,1.8,1.58553336702098
"26",1.29223864285714,1.8,1.58553336702098
"27",1.30972502857143,1.8,1.58553336702098
"28",1.32721141428571,1.8,1.58553336702098
"29",1.3446978,1.8,1.58553336702098
"30",1.36218418571429,1.8,1.58553336702098
"31",1.37967057142857,1.8,1.58553336702098
"32",1.39715695714286,1.8,1.58553336702098
"33",1.41464334285714,1.8,1.63569141534498
"34",1.43212972857143,1.8,1.60647889706674
"35",1.44961611428571,1.8,1.57415696983526
"36",1.4671025,1.8,1.4481321961392
"37",1.48458888571429,1.8,1.49034997784434
"38",1.50207527142857,1.8,1.49034997784434
"39",1.51956165714286,1.8,1.42015600497354
"40",1.53704804285714,1.8,1.3373354768551
"41",1.55453442857143,1.8,1.3373354768551
"42",1.57202081428571,1.8,1.3373354768551
"43",1.5895072,1.8,1.3373354768551
"44",1.60699358571429,1.8,1.3373354768551
"45",1.62447997142857,1.8,1.3373354768551
"46",1.64196635714286,1.8,1.3373354768551
"47",1.65945274285714,1.8,1.3373354768551
"48",1.67693912857143,1.8,1.3373354768551
"49",1.69442551428571,1.8,1.3373354768551
"50",1.7119119,1.8,1.3373354768551
"51",0.855079,2.62040816326531,1.35176912343204
"52",0.872565385714286,2.62040816326531,1.35176912343204
"53",0.890051771428572,2.62040816326531,1.35176912343204
"54",0.907538157142857,2.62040816326531,1.35176912343204
"55",0.925024542857143,2.62040816326531,1.35176912343204
"56",0.942510928571429,2.62040816326531,1.35176912343204
"57",0.959997314285714,2.62040816326531,1.35176912343204
"58",0.9774837,2.62040816326531,1.35176912343204
"59",0.994970085714286,2.62040816326531,1.40595919480329
"60",1.01245647142857,2.62040816326531,1.39904195320748
"61",1.02994285714286,2.62040816326531,1.39904195320748
"62",1.04742924285714,2.62040816326531,1.39904195320748
"63",1.06491562857143,2.62040816326531,1.39904195320748
"64",1.08240201428571,2.62040816326531,1.39904195320748
"65",1.0998884,2.62040816326531,1.39904195320748
"66",1.11737478571429,2.62040816326531,1.39904195320748
"67",1.13486117142857,2.62040816326531,1.41372002039053
"68",1.15234755714286,2.62040816326531,1.43358334434945
"69",1.16983394285714,2.62040816326531,1.48553290801149
"70",1.18732032857143,2.62040816326531,1.48553290801149
"71",1.20480671428571,2.62040816326531,1.58553336702098
"72",1.2222931,2.62040816326531,1.58553336702098
"73",1.23977948571429,2.62040816326531,1.58553336702098
"74",1.25726587142857,2.62040816326531,1.58553336702098
"75",1.27475225714286,2.62040816326531,1.58553336702098
"76",1.29223864285714,2.62040816326531,1.58553336702098
"77",1.30972502857143,2.62040816326531,1.58553336702098
"78",1.32721141428571,2.62040816326531,1.58553336702098
"79",1.3446978,2.62040816326531,1.58553336702098
"80",1.36218418571429,2.62040816326531,1.58553336702098
"81",1.37967057142857,2.62040816326531,1.58553336702098
"82",1.39715695714286,2.62040816326531,1.58553336702098
"83",1.41464334285714,2.62040816326531,1.63569141534498
"84",1.43212972857143,2.62040816326531,1.60647889706674
"85",1.44961611428571,2.62040816326531,1.57415696983526
"86",1.4671025,2.62040816326531,1.4481321961392
"87",1.48458888571429,2.62040816326531,1.49034997784434
"88",1.50207527142857,2.62040816326531,1.49034997784434
"89",1.51956165714286,2.62040816326531,1.42015600497354
"90",1.53704804285714,2.62040816326531,1.3373354768551
"91",1.55453442857143,2.62040816326531,1.3373354768551
"92",1.57202081428571,2.62040816326531,1.3373354768551
"93",1.5895072,2.62040816326531,1.3373354768551
"94",1.60699358571429,2.62040816326531,1.3373354768551
"95",1.62447997142857,2.62040816326531,1.3373354768551
"96",1.64196635714286,2.62040816326531,1.3373354768551
"97",1.65945274285714,2.62040816326531,1.3373354768551
"98",1.67693912857143,2.62040816326531,1.3373354768551
"99",1.69442551428571,2.62040816326531,1.3373354768551
"100",1.7119119,2.62040816326531,1.3373354768551
"101",0.855079,3.44081632653061,1.35176912343204
"102",0.872565385714286,3.44081632653061,1.35176912343204
"103",0.890051771428572,3.44081632653061,1.35176912343204
"104",0.907538157142857,3.44081632653061,1.35176912343204
"105",0.925024542857143,3.44081632653061,1.35176912343204
"106",0.942510928571429,3.44081632653061,1.35176912343204
"107",0.959997314285714,3.44081632653061,1.35176912343204
"108",0.9774837,3.44081632653061,1.35176912343204
"109",0.994970085714286,3.44081632653061,1.40595919480329
"110",1.01245647142857,3.44081632653061,1.39904195320748
"111",1.02994285714286,3.44081632653061,1.39904195320748
