"bf","lr","best.iter","best.iter.sd","cv.r.squared","cv.r.squared.sd"
0.5,5e-04,39684.4,691.401989519202,0.320579575750028,0.0349768151552239
0.6,5e-04,38831.4,2449.90399811911,0.316048213179393,0.0433390207126019
0.7,5e-04,39807.3,560.494038029546,0.356252119932251,0.0253643696734235
0.5,0.001,31699.9,3825.57540915234,0.334263202280906,0.0466875484438169
0.6,0.001,33444.6,3615.73801287894,0.348464103956037,0.0313727977117955
0.7,0.001,32281.6,5002.23230612538,0.366985215486087,0.0344999588005928
0.5,0.005,6106.2,925.507164267847,0.307895347162281,0.0469147373352418
0.6,0.005,6027.6,1469.54355725397,0.329292764633078,0.043211064282885
0.7,0.005,6519.5,1091.21932310197,0.343542684110594,0.0490258534179371
0.5,0.01,3106.8,796.350397473094,0.332166025490825,0.0415811495650117
0.6,0.01,3088.7,559.07543716787,0.359987584593344,0.0292328390671748
0.7,0.01,3483.1,884.571641467716,0.341885011477421,0.0372835319321538
0.5,0.05,637,214.397346583912,0.334331073331818,0.0512450778464713
0.6,0.05,581.9,104.84215649145,0.3530798865913,0.0372369602155989
0.7,0.05,584.4,160.404488715248,0.343622321051148,0.0344291907663344
0.5,0.1,302.6,128.83339801637,0.403276012220713,0.0463976513284938
0.6,0.1,364.8,84.4627465546531,0.414651838304352,0.0431496939583197
0.7,0.1,337.1,90.1387202532235,0.398552177169699,0.0407352652745494
