"n.trees","cv.r.squared"
280,0.337030372178007
223,0.336194342070092
352,0.361148189792401
271,0.345949479642464
340,0.299441790557945
268,0.360624297235172
303,0.285547472786521
171,0.355043363130419
237,0.359137927291423
220,0.351963169754257
297,0.380975597160603
334,0.33953495365516
335,0.369171868815316
355,0.280576502686959
253,0.360422439852225
278,0.328972321564589
364,0.308975603174233
219,0.334001380727093
290,0.286800588693748
361,0.249944928659215
361,0.33675403666492
243,0.322300491205785
365,0.302108377618209
167,0.306616898866999
333,0.348158733246717
314,0.345859350935935
334,0.386756676348732
310,0.338343341871515
149,0.232703286436476
263,0.310121150257249
356,0.339544495132647
355,0.274832978875346
266,0.354977082090993
320,0.32276944069046
248,0.357638113928592
262,0.355554078944476
252,0.270382090159103
334,0.201178826319544
330,0.374815706002778
263,0.381411525722556
209,0.31412387789186
321,0.376554150293299
360,0.300613949472736
355,0.303797857143369
243,0.277443922936329
270,0.289752057631797
312,0.305028584873293
323,0.344351416006364
310,0.353128365252053
162,0.261579820410465
327,0.360221215703343
359,0.3301465327266
343,0.33984163787519
354,0.298543325060436
349,0.299904339556652
288,0.350052099903863
299,0.377700828165323
247,0.303219234020728
311,0.391111357469617
293,0.367876347578945
301,0.385568457983165
324,0.254600192270729
365,0.346633201040347
353,0.270490013514335
304,0.354502757924631
317,0.275399123381599
292,0.315679655351714
217,0.355356461542934
289,0.33913738968076
136,0.295499796944195
158,0.311179586291358
246,0.381059707648426
234,0.364855522587231
238,0.325631527809034
340,0.27821234385821
307,0.275344752455043
316,0.346902980136507
285,0.3179278296789
291,0.31633466151862
224,0.416675882814259
272,0.424120589383488
344,0.320226382140617
277,0.38748649183688
355,0.378696893657552
350,0.309164487553125
363,0.28320034616282
291,0.312739693114707
330,0.348769173979155
355,0.313924738883256
358,0.381923253537725
363,0.324788028598448
258,0.279988523256959
261,0.341426175107191
321,0.301481504300729
293,0.314608859629795
97,0.186752802086051
214,0.296961504190895
214,0.329845834812351
265,0.347151150641715
241,0.32825433873402
