"","ppt_week","radSUM","Predicted"
"1",0,171494.0177,1.8205275824476
"2",0.551857142857143,171494.0177,1.5341188686787
"3",1.10371428571429,171494.0177,1.5341188686787
"4",1.65557142857143,171494.0177,1.43329273013074
"5",2.20742857142857,171494.0177,1.56378700215063
"6",2.75928571428571,171494.0177,1.48426707411454
"7",3.31114285714286,171494.0177,1.47133589041048
"8",3.863,171494.0177,1.46140175340222
"9",4.41485714285714,171494.0177,1.50839996131956
"10",4.96671428571429,171494.0177,1.52697054503522
"11",5.51857142857143,171494.0177,1.44289229984207
"12",6.07042857142857,171494.0177,1.11596349488228
"13",6.62228571428571,171494.0177,1.10998676238182
"14",7.17414285714286,171494.0177,1.07770117443119
"15",7.726,171494.0177,1.1169125354686
"16",8.27785714285714,171494.0177,1.1169125354686
"17",8.82971428571429,171494.0177,1.1169125354686
"18",9.38157142857143,171494.0177,1.1169125354686
"19",9.93342857142857,171494.0177,1.1169125354686
"20",10.4852857142857,171494.0177,1.1169125354686
"21",11.0371428571429,171494.0177,1.1169125354686
"22",11.589,171494.0177,1.04918616576165
"23",12.1408571428571,171494.0177,1.04918616576165
"24",12.6927142857143,171494.0177,1.04918616576165
"25",13.2445714285714,171494.0177,1.04918616576165
"26",13.7964285714286,171494.0177,1.04918616576165
"27",14.3482857142857,171494.0177,1.23683560759073
"28",14.9001428571429,171494.0177,1.26246814363497
"29",15.452,171494.0177,1.26246814363497
"30",16.0038571428571,171494.0177,1.27909776794478
"31",16.5557142857143,171494.0177,1.27909776794478
"32",17.1075714285714,171494.0177,1.27909776794478
"33",17.6594285714286,171494.0177,1.36598376757121
"34",18.2112857142857,171494.0177,1.55602769334213
"35",18.7631428571429,171494.0177,1.77267002131544
"36",19.315,171494.0177,1.77267002131544
"37",19.8668571428571,171494.0177,1.77267002131544
"38",20.4187142857143,171494.0177,1.77267002131544
"39",20.9705714285714,171494.0177,1.77267002131544
"40",21.5224285714286,171494.0177,1.77267002131544
"41",22.0742857142857,171494.0177,1.77267002131544
"42",22.6261428571429,171494.0177,1.77267002131544
"43",23.178,171494.0177,1.77267002131544
"44",23.7298571428571,171494.0177,1.77267002131544
"45",24.2817142857143,171494.0177,1.77267002131544
"46",24.8335714285714,171494.0177,1.77267002131544
"47",25.3854285714286,171494.0177,1.77267002131544
"48",25.9372857142857,171494.0177,1.77267002131544
"49",26.4891428571429,171494.0177,1.77267002131544
"50",27.041,171494.0177,1.77267002131544
"51",0,172632.792804082,1.8205275824476
"52",0.551857142857143,172632.792804082,1.5341188686787
"53",1.10371428571429,172632.792804082,1.5341188686787
"54",1.65557142857143,172632.792804082,1.43329273013074
"55",2.20742857142857,172632.792804082,1.56378700215063
"56",2.75928571428571,172632.792804082,1.48426707411454
"57",3.31114285714286,172632.792804082,1.47133589041048
"58",3.863,172632.792804082,1.46140175340222
"59",4.41485714285714,172632.792804082,1.50839996131956
"60",4.96671428571429,172632.792804082,1.52697054503522
"61",5.51857142857143,172632.792804082,1.44289229984207
"62",6.07042857142857,172632.792804082,1.11596349488228
"63",6.62228571428571,172632.792804082,1.10998676238182
"64",7.17414285714286,172632.792804082,1.07770117443119
"65",7.726,172632.792804082,1.1169125354686
"66",8.27785714285714,172632.792804082,1.1169125354686
"67",8.82971428571429,172632.792804082,1.1169125354686
"68",9.38157142857143,172632.792804082,1.1169125354686
"69",9.93342857142857,172632.792804082,1.1169125354686
"70",10.4852857142857,172632.792804082,1.1169125354686
"71",11.0371428571429,172632.792804082,1.1169125354686
"72",11.589,172632.792804082,1.04918616576165
"73",12.1408571428571,172632.792804082,1.04918616576165
"74",12.6927142857143,172632.792804082,1.04918616576165
"75",13.2445714285714,172632.792804082,1.04918616576165
"76",13.7964285714286,172632.792804082,1.04918616576165
"77",14.3482857142857,172632.792804082,1.23683560759073
"78",14.9001428571429,172632.792804082,1.26246814363497
"79",15.452,172632.792804082,1.26246814363497
"80",16.0038571428571,172632.792804082,1.27909776794478
"81",16.5557142857143,172632.792804082,1.27909776794478
"82",17.1075714285714,172632.792804082,1.27909776794478
"83",17.6594285714286,172632.792804082,1.36598376757121
"84",18.2112857142857,172632.792804082,1.55602769334213
"85",18.7631428571429,172632.792804082,1.77267002131544
"86",19.315,172632.792804082,1.77267002131544
"87",19.8668571428571,172632.792804082,1.77267002131544
"88",20.4187142857143,172632.792804082,1.77267002131544
"89",20.9705714285714,172632.792804082,1.77267002131544
"90",21.5224285714286,172632.792804082,1.77267002131544
"91",22.0742857142857,172632.792804082,1.77267002131544
"92",22.6261428571429,172632.792804082,1.77267002131544
"93",23.178,172632.792804082,1.77267002131544
"94",23.7298571428571,172632.792804082,1.77267002131544
"95",24.2817142857143,172632.792804082,1.77267002131544
"96",24.8335714285714,172632.792804082,1.77267002131544
"97",25.3854285714286,172632.792804082,1.77267002131544
"98",25.9372857142857,172632.792804082,1.77267002131544
"99",26.4891428571429,172632.792804082,1.77267002131544
"100",27.041,172632.792804082,1.77267002131544
"101",0,173771.567908163,1.8205275824476
"102",0.551857142857143,173771.567908163,1.5341188686787
"103",1.10371428571429,173771.567908163,1.5341188686787
"104",1.65557142857143,173771.567908163,1.43329273013074
"105",2.20742857142857,173771.567908163,1.56378700215063
"106",2.75928571428571,173771.567908163,1.48426707411454
"107",3.31114285714286,173771.567908163,1.47133589041048
"108",3.863,173771.567908163,1.46140175340222
"109",4.41485714285714,173771.567908163,1.50839996131956
"110",4.96671428571429,173771.567908163,1.52697054503522
"111",5.51857142857143,173771.567908163,1.44289229984207
