"var","rel.inf"
"NO3_N",14.0205770599203
"TEMP",8.86913202613933
"NtoP",8.52773722348263
"TDP_P",7.68852054078912
"ppt_week",7.15720108175814
"lake_perc_area",6.77669705216204
"max_depth_m",6.38909944777746
"TDN",4.38316892775979
"tmean_day",4.29908081066011
"Ordinal_date",4.24042311022201
"snow2011",4.0933395741568
"ppt_percent_normal",3.96663364846392
"tmean_month",3.93465639263485
"DOC",3.11301515118798
"BIOTITE_GNEISS_PCT",2.73741356190137
"Difference_SnowFree",2.1678729655051
"radSUM",2.16660560101278
"ppt_day",2.10551232172351
"LON_DD",1.92561941252716
"Max_SWE",1.04435927451976
"FISH",0.393334815695816
