"var","rel.inf"
"NO3_N",12.2022186373403
"TEMP",9.15584251085681
"NtoP",8.5566314879559
"ppt_week",7.87532983262552
"TDP_P",7.71488793605732
"lake_perc_area",7.35065657427016
"max_depth_m",6.51609269310681
"snow2011",4.52209547739291
"tmean_day",4.34955071948268
"tmean_month",4.10267351311127
"Ordinal_date",3.6882236691733
"TDN",3.58560457555434
"ppt_percent_normal",3.41778676437914
"eastMEAN",2.57651957223868
"elevation_m",2.53103360582306
"DOC",2.31129736430188
"rglac_km2",2.04321691349417
"snow1992to2011",2.00094429550198
"shrub2011",1.90790445040699
"lake_surface_area_m2",1.77457146158842
"tmean_percent_normal",1.14235635164116
"water1992to2011",0.674561593697206
