"","TDP_P","TEMP","Predicted"
"1",0.3,5.75,1.714463337567
"2",0.539183673469388,5.75,1.714463337567
"3",0.778367346938776,5.75,1.60627988094953
"4",1.01755102040816,5.75,1.62582800500351
"5",1.25673469387755,5.75,1.64009886575001
"6",1.49591836734694,5.75,1.64380969765178
"7",1.73510204081633,5.75,1.44597321104966
"8",1.97428571428571,5.75,1.24466990853655
"9",2.2134693877551,5.75,1.33794627733954
"10",2.45265306122449,5.75,1.49066534328928
"11",2.69183673469388,5.75,1.49335517947211
"12",2.93102040816327,5.75,1.48812060149637
"13",3.17020408163265,5.75,1.49804606616888
"14",3.40938775510204,5.75,1.5307349748708
"15",3.64857142857143,5.75,1.54061794963751
"16",3.88775510204082,5.75,1.78381705760048
"17",4.1269387755102,5.75,1.77381869737712
"18",4.36612244897959,5.75,1.7564750145294
"19",4.60530612244898,5.75,1.75066112156785
"20",4.84448979591837,5.75,1.75066112156785
"21",5.08367346938775,5.75,1.75066112156785
"22",5.32285714285714,5.75,1.75066112156785
"23",5.56204081632653,5.75,1.75066112156785
"24",5.80122448979592,5.75,1.75066112156785
"25",6.04040816326531,5.75,1.75066112156785
"26",6.27959183673469,5.75,1.75066112156785
"27",6.51877551020408,5.75,1.75066112156785
"28",6.75795918367347,5.75,1.75066112156785
"29",6.99714285714286,5.75,1.75066112156785
"30",7.23632653061224,5.75,1.75066112156785
"31",7.47551020408163,5.75,1.75066112156785
"32",7.71469387755102,5.75,1.75066112156785
"33",7.95387755102041,5.75,1.75066112156785
"34",8.1930612244898,5.75,1.75066112156785
"35",8.43224489795918,5.75,1.75066112156785
"36",8.67142857142857,5.75,1.75066112156785
"37",8.91061224489796,5.75,1.75066112156785
"38",9.14979591836735,5.75,1.75066112156785
"39",9.38897959183674,5.75,1.75066112156785
"40",9.62816326530612,5.75,1.75066112156785
"41",9.86734693877551,5.75,1.75066112156785
"42",10.1065306122449,5.75,1.75066112156785
"43",10.3457142857143,5.75,1.75066112156785
"44",10.5848979591837,5.75,1.75066112156785
"45",10.8240816326531,5.75,1.75066112156785
"46",11.0632653061224,5.75,1.75066112156785
"47",11.3024489795918,5.75,1.75066112156785
"48",11.5416326530612,5.75,1.75066112156785
"49",11.7808163265306,5.75,1.75066112156785
"50",12.02,5.75,1.75066112156785
"51",0.3,5.90979591836735,1.714463337567
"52",0.539183673469388,5.90979591836735,1.714463337567
"53",0.778367346938776,5.90979591836735,1.60627988094953
"54",1.01755102040816,5.90979591836735,1.62582800500351
"55",1.25673469387755,5.90979591836735,1.64009886575001
