"n.trees","cv.r.squared"
503,0.38467627156931
467,0.285191703672435
359,0.333347537375391
419,0.321326690727587
376,0.335987214977237
274,0.361380336934369
510,0.370812544994211
389,0.32840588504007
425,0.3755477936736
499,0.414338102212937
521,0.337674249839244
341,0.362250686120063
483,0.392324594953353
389,0.322391410570636
323,0.397508595070629
302,0.367385808668855
543,0.409730947433934
358,0.331172700118092
543,0.306335088099842
381,0.341374262471307
385,0.407010771458687
361,0.384222977281388
304,0.401453734747444
197,0.2624033843781
302,0.400121392051091
379,0.280277479054905
384,0.331335646332785
505,0.299452208241367
331,0.427183861690921
323,0.357220405460774
441,0.406218896641715
347,0.383455063961364
513,0.340974002233374
313,0.39386087926877
418,0.361380409706298
538,0.431374190325054
487,0.419330782768129
393,0.365983673215639
514,0.399168553272355
306,0.355913485481987
314,0.283167249494497
398,0.426122084732099
474,0.414138473205052
230,0.290476341234492
457,0.399495257626858
354,0.315574049704292
428,0.376624790885372
470,0.329492281116794
515,0.386511252997452
458,0.349340549321957
442,0.35516252572212
239,0.332910958651555
468,0.373148818925347
349,0.309974182225193
492,0.397567525256627
418,0.373923994885344
417,0.306089912909461
458,0.299576430964868
263,0.339158286490531
537,0.37691870825375
442,0.371882485908797
533,0.426741896095288
284,0.240483611157193
239,0.30557866017819
304,0.381245316983337
515,0.322306832535076
454,0.436569145607817
418,0.415479754653427
285,0.268448659210762
498,0.39615518283037
457,0.377754355162778
450,0.327185144696701
513,0.282702332872288
480,0.370439442531191
369,0.387419637483602
541,0.425272194246614
508,0.313740920292389
207,0.33972162163626
413,0.381073401441066
356,0.355631711137384
307,0.279051416654025
486,0.376792635270318
373,0.402725817376921
518,0.397197957803083
543,0.282608977761042
544,0.357650348439935
501,0.353425832636905
402,0.393841371259087
526,0.37077493840543
449,0.394977974659485
502,0.387006054340631
302,0.405217056311015
413,0.284688242148927
504,0.421035544177961
400,0.38544025307458
354,0.355194042928247
393,0.346365807559031
531,0.386662849141181
398,0.357891951005465
502,0.326616759285943
