"","NO3_N","max_depth_m","Predicted"
"1",0.002,1.8,1.15555591972156
"2",0.0100612244897959,1.8,1.15555591972156
"3",0.0181224489795918,1.8,1.15555591972156
"4",0.0261836734693878,1.8,1.04320259926512
"5",0.0342448979591837,1.8,1.11674638233025
"6",0.0423061224489796,1.8,1.17972449277884
"7",0.0503673469387755,1.8,1.17972449277884
"8",0.0584285714285714,1.8,1.19313543429267
"9",0.0664897959183673,1.8,1.19313543429267
"10",0.0745510204081633,1.8,1.19313543429267
"11",0.0826122448979592,1.8,0.894293172397595
"12",0.0906734693877551,1.8,0.894293172397595
"13",0.098734693877551,1.8,0.894293172397595
"14",0.106795918367347,1.8,0.88096927349179
"15",0.114857142857143,1.8,0.889423618502067
"16",0.122918367346939,1.8,0.868005026080952
"17",0.130979591836735,1.8,0.868005026080952
"18",0.139040816326531,1.8,0.868005026080952
"19",0.147102040816327,1.8,0.868005026080952
"20",0.155163265306122,1.8,0.868005026080952
"21",0.163224489795918,1.8,0.868005026080952
"22",0.171285714285714,1.8,0.868005026080952
"23",0.17934693877551,1.8,0.868005026080952
"24",0.187408163265306,1.8,0.916847551963028
"25",0.195469387755102,1.8,0.916847551963028
"26",0.203530612244898,1.8,0.916847551963028
"27",0.211591836734694,1.8,0.916847551963028
"28",0.21965306122449,1.8,0.916847551963028
"29",0.227714285714286,1.8,0.916847551963028
"30",0.235775510204082,1.8,0.916847551963028
"31",0.243836734693878,1.8,0.916847551963028
"32",0.251897959183673,1.8,0.916847551963028
"33",0.259959183673469,1.8,0.916847551963028
"34",0.268020408163265,1.8,0.916847551963028
"35",0.276081632653061,1.8,0.916847551963028
"36",0.284142857142857,1.8,0.916847551963028
"37",0.292204081632653,1.8,0.916847551963028
"38",0.300265306122449,1.8,0.916847551963028
"39",0.308326530612245,1.8,0.916847551963028
"40",0.316387755102041,1.8,0.916847551963028
"41",0.324448979591837,1.8,0.916847551963028
"42",0.332510204081633,1.8,0.916847551963028
"43",0.340571428571429,1.8,0.916847551963028
"44",0.348632653061224,1.8,0.916847551963028
"45",0.35669387755102,1.8,0.916847551963028
"46",0.364755102040816,1.8,0.916847551963028
"47",0.372816326530612,1.8,0.916847551963028
"48",0.380877551020408,1.8,0.916847551963028
"49",0.388938775510204,1.8,0.916847551963028
"50",0.397,1.8,0.916847551963028
"51",0.002,2.62040816326531,1.15555591972156
"52",0.0100612244897959,2.62040816326531,1.15555591972156
"53",0.0181224489795918,2.62040816326531,1.15555591972156
"54",0.0261836734693878,2.62040816326531,1.04320259926512
"55",0.0342448979591837,2.62040816326531,1.11674638233025
"56",0.0423061224489796,2.62040816326531,1.17972449277884
"57",0.0503673469387755,2.62040816326531,1.17972449277884
"58",0.0584285714285714,2.62040816326531,1.19313543429267
"59",0.0664897959183673,2.62040816326531,1.19313543429267
"60",0.0745510204081633,2.62040816326531,1.19313543429267
"61",0.0826122448979592,2.62040816326531,0.894293172397595
"62",0.0906734693877551,2.62040816326531,0.894293172397595
"63",0.098734693877551,2.62040816326531,0.894293172397595
"64",0.106795918367347,2.62040816326531,0.88096927349179
"65",0.114857142857143,2.62040816326531,0.889423618502067
"66",0.122918367346939,2.62040816326531,0.868005026080952
"67",0.130979591836735,2.62040816326531,0.868005026080952
"68",0.139040816326531,2.62040816326531,0.868005026080952
"69",0.147102040816327,2.62040816326531,0.868005026080952
"70",0.155163265306122,2.62040816326531,0.868005026080952
"71",0.163224489795918,2.62040816326531,0.868005026080952
"72",0.171285714285714,2.62040816326531,0.868005026080952
"73",0.17934693877551,2.62040816326531,0.868005026080952
"74",0.187408163265306,2.62040816326531,0.916847551963028
"75",0.195469387755102,2.62040816326531,0.916847551963028
"76",0.203530612244898,2.62040816326531,0.916847551963028
"77",0.211591836734694,2.62040816326531,0.916847551963028
"78",0.21965306122449,2.62040816326531,0.916847551963028
"79",0.227714285714286,2.62040816326531,0.916847551963028
"80",0.235775510204082,2.62040816326531,0.916847551963028
"81",0.243836734693878,2.62040816326531,0.916847551963028
"82",0.251897959183673,2.62040816326531,0.916847551963028
"83",0.259959183673469,2.62040816326531,0.916847551963028
"84",0.268020408163265,2.62040816326531,0.916847551963028
"85",0.276081632653061,2.62040816326531,0.916847551963028
"86",0.284142857142857,2.62040816326531,0.916847551963028
"87",0.292204081632653,2.62040816326531,0.916847551963028
"88",0.300265306122449,2.62040816326531,0.916847551963028
"89",0.308326530612245,2.62040816326531,0.916847551963028
"90",0.316387755102041,2.62040816326531,0.916847551963028
"91",0.324448979591837,2.62040816326531,0.916847551963028
"92",0.332510204081633,2.62040816326531,0.916847551963028
"93",0.340571428571429,2.62040816326531,0.916847551963028
"94",0.348632653061224,2.62040816326531,0.916847551963028
