"n.trees","cv.r.squared"
329,0.345248036617436
301,0.272808720529186
380,0.316206236380618
408,0.308537304300685
304,0.29496113026105
403,0.357250801854177
318,0.304383142489441
358,0.311434765290137
289,0.301299443912015
353,0.279915088464413
391,0.350006556412865
342,0.375523454605713
306,0.270739063144797
409,0.36949871947114
350,0.339683554905332
372,0.35657626683046
158,0.287356623747618
378,0.413830168329105
410,0.289547196737455
306,0.344347221110234
414,0.322973044965794
327,0.383964822988364
414,0.326983900955953
376,0.413349359216169
222,0.31528904099835
347,0.191386555026004
376,0.374196658408499
404,0.155984607495405
397,0.392243563411074
364,0.39316153828583
231,0.330820940303536
410,0.374190201185969
215,0.270392144291564
171,0.346259548214082
394,0.429191927064313
306,0.286663219215913
365,0.358264314206911
328,0.345872683541991
415,0.390850816860938
413,0.289940721376679
408,0.354778683811758
394,0.340841054488234
383,0.294130741282966
279,0.385170109056662
372,0.398161083023892
317,0.313913984815855
214,0.340267737710397
415,0.330759958518259
341,0.323253795277391
320,0.385275794826858
139,0.186155767619781
411,0.407188247025912
413,0.371531148490266
393,0.362293329269393
254,0.374556968701835
395,0.394379768151542
394,0.349163964764724
396,0.332721772544867
377,0.392580441490437
234,0.2935238030398
402,0.279184163808245
381,0.400417731917884
412,0.316916143217879
358,0.371905764486274
300,0.33338766837622
351,0.359652488328069
187,0.330487311031439
354,0.374346009246435
414,0.316847269218268
325,0.426361163113127
415,0.361000774697942
191,0.319388429692706
399,0.318792607883072
391,0.374758458219975
409,0.426587927432083
398,0.316630298230656
409,0.407502024153127
377,0.36537403691785
387,0.357321003342902
315,0.372354009097784
355,0.311277495752082
408,0.359912582242583
402,0.35679802418642
363,0.408993911606224
355,0.328379456912209
347,0.3410209589054
360,0.388238058084136
311,0.31842982775886
285,0.361862958559205
337,0.340782702216032
276,0.287320741062084
336,0.288775151956581
345,0.342372197638532
330,0.266362354048852
402,0.352477778914934
392,0.379713073353288
280,0.238336372043699
376,0.308883481427152
362,0.316310364567975
245,0.342831090601843
