"n.trees","cv.r.squared"
19278,0.721369257634006
32440,0.715879606019254
28086,0.685713152994142
22865,0.680175377648826
29544,0.703880398040782
28479,0.699987937924194
24870,0.718528183876517
20587,0.66007355629768
18493,0.685776761746782
32207,0.7142656977266
31047,0.730184162789221
16508,0.703160527495858
32606,0.701437828417088
26314,0.691468114551629
18212,0.686273353576944
29133,0.715978203064811
30043,0.680687745342201
32638,0.724197903053634
32421,0.742377730356944
29821,0.725554026384594
21793,0.709273696520209
32516,0.696887640599477
32629,0.695258465228742
14999,0.684495224213949
27248,0.750337347618193
20893,0.699164331284717
32615,0.72166268433257
26925,0.712486791337173
25376,0.718735602082686
32629,0.725617708280969
20966,0.69539835146313
17059,0.694723566889778
32580,0.697290482263129
26313,0.724067847784872
27968,0.715877868181128
32620,0.748322912789095
17982,0.676757024871881
32090,0.727984165556679
21206,0.681621306883472
28307,0.74046012707171
20897,0.674155383688769
22580,0.676766480236126
26617,0.720010694722616
31812,0.731546598238503
20775,0.714943057371096
32606,0.753933117042432
31579,0.699690324946169
32639,0.738187015553533
32136,0.708295222239565
28882,0.693673987987567
32635,0.719735088598623
32579,0.728337312305897
32627,0.739190706908791
30592,0.724340847428794
30348,0.686803600585691
21360,0.696115891118578
26835,0.719711445510717
16426,0.689176697911999
32591,0.691268367206774
20254,0.694307391653371
32083,0.699011991133977
32094,0.695164417395297
32509,0.685809930640106
32437,0.74919431662146
24070,0.7111911292553
19817,0.685091119024147
19605,0.715045990558702
32479,0.738387143873261
31999,0.669642042913425
22631,0.656059567830912
20599,0.687016181545782
32515,0.743819961098484
25319,0.695679489473379
28206,0.697578388456144
32471,0.714557091296572
20775,0.697086577402252
22402,0.732911390401593
17815,0.702029048045549
29701,0.724264317352878
26644,0.674671173475054
32634,0.739449615737295
32395,0.686341940582839
32476,0.708809896194453
32615,0.716727795754925
32184,0.710955976801845
21241,0.686722018243765
19901,0.680720471105086
18542,0.698783181158737
26034,0.707506200177847
23231,0.693526569280736
18766,0.676047970878119
17586,0.695756368311501
24109,0.689948493325802
32624,0.674385633935319
22712,0.721724488296728
32623,0.688465748591421
18443,0.704053085917007
32396,0.706422336451968
20787,0.707092018534882
32295,0.698573033141412
