"var","rel.inf"
"ppt_week",12.3681872934052
"tmean_day",8.59821218337388
"tmean_month",7.65928595153382
"Ordinal_date",7.4486001746836
"lake_perc_area",7.12959693236788
"snow1992to2011",6.42944718013417
"ppt_percent_normal",5.56051064435501
"max_depth_m",5.47588927245839
"elevation_m",5.45228105122659
"snow2011",4.50777836059365
"eastMEAN",4.04571660049825
"site_type_num",3.59312683072751
"ppt_day",3.46232155242917
"tmean_percent_normal",3.45363795448034
"water1992to2011",2.99656801752246
"shrub2011",2.85164753340454
"Difference_SnowFree",2.8262165754123
"radSUM",2.54331578911155
"LON_DD",2.07320202052595
"BIOTITE_GNEISS_PCT",1.52445808175571
