"","max_depth_m","tmean_day","Predicted"
"1",1.8,5.619,0.967132344552113
"2",2.62040816326531,5.619,0.967132344552113
"3",3.44081632653061,5.619,0.967132344552113
"4",4.26122448979592,5.619,0.967132344552113
"5",5.08163265306122,5.619,0.946866857150488
"6",5.90204081632653,5.619,0.946866857150488
"7",6.72244897959184,5.619,0.969271225938986
"8",7.54285714285714,5.619,1.01492421764832
"9",8.36326530612245,5.619,0.995286809400099
"10",9.18367346938776,5.619,1.1307562902607
"11",10.0040816326531,5.619,1.03790085003357
"12",10.8244897959184,5.619,1.02172107985292
"13",11.6448979591837,5.619,1.02172107985292
"14",12.465306122449,5.619,1.14294928671536
"15",13.2857142857143,5.619,1.14294928671536
"16",14.1061224489796,5.619,1.1243401925316
"17",14.9265306122449,5.619,1.1243401925316
"18",15.7469387755102,5.619,1.14548193913709
"19",16.5673469387755,5.619,1.11455389861194
"20",17.3877551020408,5.619,1.11455389861194
"21",18.2081632653061,5.619,1.11455389861194
"22",19.0285714285714,5.619,1.11455389861194
"23",19.8489795918367,5.619,1.11455389861194
"24",20.669387755102,5.619,1.11455389861194
"25",21.4897959183673,5.619,1.11455389861194
"26",22.3102040816327,5.619,1.11455389861194
"27",23.130612244898,5.619,1.11455389861194
"28",23.9510204081633,5.619,1.11455389861194
"29",24.7714285714286,5.619,1.11455389861194
"30",25.5918367346939,5.619,1.11455389861194
"31",26.4122448979592,5.619,1.11455389861194
"32",27.2326530612245,5.619,1.11455389861194
"33",28.0530612244898,5.619,1.11455389861194
"34",28.8734693877551,5.619,1.11455389861194
"35",29.6938775510204,5.619,1.11455389861194
"36",30.5142857142857,5.619,1.11455389861194
"37",31.334693877551,5.619,1.11455389861194
"38",32.1551020408163,5.619,1.11455389861194
"39",32.9755102040816,5.619,1.11455389861194
"40",33.7959183673469,5.619,1.11455389861194
"41",34.6163265306122,5.619,1.11455389861194
"42",35.4367346938776,5.619,1.11455389861194
"43",36.2571428571429,5.619,1.11455389861194
"44",37.0775510204082,5.619,1.11455389861194
"45",37.8979591836735,5.619,1.11455389861194
"46",38.7183673469388,5.619,1.11455389861194
"47",39.5387755102041,5.619,1.11455389861194
"48",40.3591836734694,5.619,1.11455389861194
"49",41.1795918367347,5.619,1.11455389861194
"50",42,5.619,1.11455389861194
"51",1.8,5.83942857142857,0.967132344552113
"52",2.62040816326531,5.83942857142857,0.967132344552113
"53",3.44081632653061,5.83942857142857,0.967132344552113
"54",4.26122448979592,5.83942857142857,0.967132344552113
"55",5.08163265306122,5.83942857142857,0.946866857150488
"56",5.90204081632653,5.83942857142857,0.946866857150488
"57",6.72244897959184,5.83942857142857,0.969271225938986
"58",7.54285714285714,5.83942857142857,1.01492421764832
"59",8.36326530612245,5.83942857142857,0.995286809400099
"60",9.18367346938776,5.83942857142857,1.1307562902607
"61",10.0040816326531,5.83942857142857,1.03790085003357
"62",10.8244897959184,5.83942857142857,1.02172107985292
"63",11.6448979591837,5.83942857142857,1.02172107985292
"64",12.465306122449,5.83942857142857,1.14294928671536
"65",13.2857142857143,5.83942857142857,1.14294928671536
"66",14.1061224489796,5.83942857142857,1.1243401925316
"67",14.9265306122449,5.83942857142857,1.1243401925316
"68",15.7469387755102,5.83942857142857,1.14548193913709
"69",16.5673469387755,5.83942857142857,1.11455389861194
"70",17.3877551020408,5.83942857142857,1.11455389861194
"71",18.2081632653061,5.83942857142857,1.11455389861194
"72",19.0285714285714,5.83942857142857,1.11455389861194
"73",19.8489795918367,5.83942857142857,1.11455389861194
"74",20.669387755102,5.83942857142857,1.11455389861194
"75",21.4897959183673,5.83942857142857,1.11455389861194
"76",22.3102040816327,5.83942857142857,1.11455389861194
"77",23.130612244898,5.83942857142857,1.11455389861194
"78",23.9510204081633,5.83942857142857,1.11455389861194
"79",24.7714285714286,5.83942857142857,1.11455389861194
"80",25.5918367346939,5.83942857142857,1.11455389861194
"81",26.4122448979592,5.83942857142857,1.11455389861194
"82",27.2326530612245,5.83942857142857,1.11455389861194
"83",28.0530612244898,5.83942857142857,1.11455389861194
"84",28.8734693877551,5.83942857142857,1.11455389861194
"85",29.6938775510204,5.83942857142857,1.11455389861194
"86",30.5142857142857,5.83942857142857,1.11455389861194
"87",31.334693877551,5.83942857142857,1.11455389861194
"88",32.1551020408163,5.83942857142857,1.11455389861194
"89",32.9755102040816,5.83942857142857,1.11455389861194
"90",33.7959183673469,5.83942857142857,1.11455389861194
"91",34.6163265306122,5.83942857142857,1.11455389861194
"92",35.4367346938776,5.83942857142857,1.11455389861194
"93",36.2571428571429,5.83942857142857,1.11455389861194
"94",37.0775510204082,5.83942857142857,1.11455389861194
"95",37.8979591836735,5.83942857142857,1.11455389861194
"96",38.7183673469388,5.83942857142857,1.11455389861194
"97",39.5387755102041,5.83942857142857,1.11455389861194
"98",40.3591836734694,5.83942857142857,1.11455389861194
"99",41.1795918367347,5.83942857142857,1.11455389861194
"100",42,5.83942857142857,1.11455389861194
"101",1.8,6.05985714285714,0.967132344552113
"102",2.62040816326531,6.05985714285714,0.967132344552113
"103",3.44081632653061,6.05985714285714,0.967132344552113
"104",4.26122448979592,6.05985714285714,0.967132344552113
"105",5.08163265306122,6.05985714285714,0.946866857150488
"106",5.90204081632653,6.05985714285714,0.946866857150488
"107",6.72244897959184,6.05985714285714,0.969271225938986
"108",7.54285714285714,6.05985714285714,1.01492421764832
"109",8.36326530612245,6.05985714285714,0.995286809400099
"110",9.18367346938776,6.05985714285714,1.1307562902607
"111",10.0040816326531,6.05985714285714,1.03790085003357
