"","eastMEAN","max_depth_m","Predicted"
"1",-0.078810751,1.8,1.02595730988526
"2",-0.0743777187142857,1.8,1.02595730988526
"3",-0.0699446864285714,1.8,1.02595730988526
"4",-0.0655116541428571,1.8,1.02595730988526
"5",-0.0610786218571429,1.8,1.02595730988526
"6",-0.0566455895714286,1.8,1.02595730988526
"7",-0.0522125572857143,1.8,1.02595730988526
"8",-0.047779525,1.8,1.02595730988526
"9",-0.0433464927142857,1.8,1.02595730988526
"10",-0.0389134604285714,1.8,1.02595730988526
"11",-0.0344804281428571,1.8,1.02595730988526
"12",-0.0300473958571429,1.8,1.02595730988526
"13",-0.0256143635714286,1.8,1.02595730988526
"14",-0.0211813312857143,1.8,1.02595730988526
"15",-0.016748299,1.8,1.0204663896633
"16",-0.0123152667142857,1.8,1.0204663896633
"17",-0.00788223442857143,1.8,1.0204663896633
"18",-0.00344920214285714,1.8,1.0204663896633
"19",0.000983830142857148,1.8,1.0204663896633
"20",0.00541686242857142,1.8,1.0204663896633
"21",0.00984989471428571,1.8,1.0204663896633
"22",0.014282927,1.8,1.02449829243286
"23",0.0187159592857143,1.8,1.0585886034636
"24",0.0231489915714286,1.8,1.0585886034636
"25",0.0275820238571429,1.8,1.06776854194422
"26",0.0320150561428571,1.8,1.12125958020604
"27",0.0364480884285714,1.8,1.12659572321124
"28",0.0408811207142857,1.8,1.12659572321124
"29",0.045314153,1.8,1.13362892686615
"30",0.0497471852857143,1.8,1.13890380239916
"31",0.0541802175714286,1.8,1.13890380239916
"32",0.0586132498571428,1.8,1.14351380544138
"33",0.0630462821428571,1.8,1.14351380544138
"34",0.0674793144285714,1.8,1.17125963748782
"35",0.0719123467142857,1.8,1.17125963748782
"36",0.076345379,1.8,1.17125963748782
"37",0.0807784112857143,1.8,1.17125963748782
"38",0.0852114435714286,1.8,1.17125963748782
"39",0.0896444758571428,1.8,1.17125963748782
"40",0.0940775081428571,1.8,1.17125963748782
"41",0.0985105404285714,1.8,1.17125963748782
"42",0.102943572714286,1.8,1.17125963748782
"43",0.107376605,1.8,1.17125963748782
"44",0.111809637285714,1.8,1.17125963748782
"45",0.116242669571429,1.8,1.17125963748782
"46",0.120675701857143,1.8,1.17125963748782
"47",0.125108734142857,1.8,1.17125963748782
"48",0.129541766428571,1.8,1.17125963748782
"49",0.133974798714286,1.8,1.17125963748782
"50",0.138407831,1.8,1.17125963748782
"51",-0.078810751,2.62040816326531,1.02595730988526
"52",-0.0743777187142857,2.62040816326531,1.02595730988526
"53",-0.0699446864285714,2.62040816326531,1.02595730988526
"54",-0.0655116541428571,2.62040816326531,1.02595730988526
"55",-0.0610786218571429,2.62040816326531,1.02595730988526
"56",-0.0566455895714286,2.62040816326531,1.02595730988526
"57",-0.0522125572857143,2.62040816326531,1.02595730988526
"58",-0.047779525,2.62040816326531,1.02595730988526
"59",-0.0433464927142857,2.62040816326531,1.02595730988526
"60",-0.0389134604285714,2.62040816326531,1.02595730988526
"61",-0.0344804281428571,2.62040816326531,1.02595730988526
"62",-0.0300473958571429,2.62040816326531,1.02595730988526
"63",-0.0256143635714286,2.62040816326531,1.02595730988526
"64",-0.0211813312857143,2.62040816326531,1.02595730988526
"65",-0.016748299,2.62040816326531,1.0204663896633
"66",-0.0123152667142857,2.62040816326531,1.0204663896633
"67",-0.00788223442857143,2.62040816326531,1.0204663896633
"68",-0.00344920214285714,2.62040816326531,1.0204663896633
"69",0.000983830142857148,2.62040816326531,1.0204663896633
"70",0.00541686242857142,2.62040816326531,1.0204663896633
"71",0.00984989471428571,2.62040816326531,1.0204663896633
"72",0.014282927,2.62040816326531,1.02449829243286
"73",0.0187159592857143,2.62040816326531,1.0585886034636
"74",0.0231489915714286,2.62040816326531,1.0585886034636
"75",0.0275820238571429,2.62040816326531,1.06776854194422
"76",0.0320150561428571,2.62040816326531,1.12125958020604
"77",0.0364480884285714,2.62040816326531,1.12659572321124
"78",0.0408811207142857,2.62040816326531,1.12659572321124
"79",0.045314153,2.62040816326531,1.13362892686615
"80",0.0497471852857143,2.62040816326531,1.13890380239916
"81",0.0541802175714286,2.62040816326531,1.13890380239916
"82",0.0586132498571428,2.62040816326531,1.14351380544138
"83",0.0630462821428571,2.62040816326531,1.14351380544138
"84",0.0674793144285714,2.62040816326531,1.17125963748782
"85",0.0719123467142857,2.62040816326531,1.17125963748782
"86",0.076345379,2.62040816326531,1.17125963748782
"87",0.0807784112857143,2.62040816326531,1.17125963748782
"88",0.0852114435714286,2.62040816326531,1.17125963748782
"89",0.0896444758571428,2.62040816326531,1.17125963748782
"90",0.0940775081428571,2.62040816326531,1.17125963748782
"91",0.0985105404285714,2.62040816326531,1.17125963748782
"92",0.102943572714286,2.62040816326531,1.17125963748782
"93",0.107376605,2.62040816326531,1.17125963748782
"94",0.111809637285714,2.62040816326531,1.17125963748782
"95",0.116242669571429,2.62040816326531,1.17125963748782
"96",0.120675701857143,2.62040816326531,1.17125963748782
"97",0.125108734142857,2.62040816326531,1.17125963748782
"98",0.129541766428571,2.62040816326531,1.17125963748782
"99",0.133974798714286,2.62040816326531,1.17125963748782
"100",0.138407831,2.62040816326531,1.17125963748782
"101",-0.078810751,3.44081632653061,1.02595730988526
"102",-0.0743777187142857,3.44081632653061,1.02595730988526
"103",-0.0699446864285714,3.44081632653061,1.02595730988526
"104",-0.0655116541428571,3.44081632653061,1.02595730988526
"105",-0.0610786218571429,3.44081632653061,1.02595730988526
"106",-0.0566455895714286,3.44081632653061,1.02595730988526
"107",-0.0522125572857143,3.44081632653061,1.02595730988526
