"var","rel.inf"
"NO3_N",13.3020319628686
"TEMP",11.1708443868892
"ppt_week",9.93844241734593
"lake_perc_area",9.79460187351583
"NtoP",9.30895725811942
"max_depth_m",7.76137204979141
"TDP_P",6.80676880926582
"snow2011",5.95931571327916
"Ordinal_date",3.83602034751525
"TDN",3.62092664378567
"ppt_percent_normal",3.49403272681683
"eastMEAN",3.18590054838498
"DOC",2.30356969953995
"shrub2011",2.24776588478333
"elevation_m",2.08571144596585
"tmean_percent_normal",1.44302762376007
"snow1992to2011",1.33445770857774
"rglac_km2",1.14226804816929
"lake_surface_area_m2",0.79997607205363
"water1992to2011",0.464008779572069
