"n.trees","cv.r.squared"
516,0.156940271687062
505,0.168251881140602
584,0.179510523836858
638,0.186650005789206
612,0.192666442584801
449,0.124755576443448
510,0.146701452662728
617,0.183368138545182
398,0.177734671074251
413,0.122704898827868
536,0.135978086680177
643,0.227635880037142
647,0.210422270199256
593,0.206181841861813
594,0.194420091587802
668,0.155282556034547
479,0.199194606912339
434,0.17233804977504
701,0.158487470683239
408,0.168584401326188
309,0.157475216290609
702,0.208883259459292
476,0.203186883171686
627,0.138063865831705
394,0.168941226599636
539,0.165594043912039
454,0.159404642210654
701,0.177277207002602
476,0.167903303411368
688,0.226656939975815
477,0.176871111507558
553,0.216158616314453
249,0.13051230803187
544,0.16045828456904
597,0.20353447795615
486,0.162076452500346
676,0.189572115855234
486,0.158501764981592
460,0.161860574748863
369,0.167444298239891
665,0.213969285128316
689,0.163946009733451
688,0.192179118808636
293,0.138181263166565
689,0.192744525873488
677,0.165485024149388
627,0.165537003754832
642,0.184875805729944
519,0.184249327345173
567,0.145291255024543
694,0.211029167865739
425,0.16639559950778
652,0.175652132793903
606,0.166461546899724
665,0.191975479832848
701,0.188690542008899
593,0.165526559651806
524,0.164695344648474
286,0.125912623601499
600,0.167227965064261
311,0.114724542489094
699,0.206067472324694
478,0.150148785739781
698,0.192762444922005
517,0.133816752692681
702,0.202188802572005
595,0.199817249869251
591,0.214111541684228
616,0.185656065764544
438,0.16900082652678
698,0.184422489267117
389,0.166634014690066
519,0.154131249141787
484,0.165987947339205
204,0.125885665194052
664,0.176084679746995
587,0.178354823560619
450,0.208438761105364
347,0.159879459161072
536,0.16301666959091
601,0.200838613856866
453,0.175168957135774
549,0.137835728125437
548,0.198250574609054
701,0.199510533441119
586,0.184149674390121
636,0.137365992197785
586,0.20184882995402
649,0.204017500286502
701,0.186595767652861
618,0.189892931614022
541,0.195532711569583
478,0.180215986269095
539,0.199300569629816
288,0.120506709259342
662,0.171185625326895
264,0.147907958928904
595,0.178638618703019
595,0.121697528000307
603,0.168326051759141
