"Value","Chl_a","Chl_a_modified","Var"
22.3,1.37220950040709,0.287125767389135,"NtoTP"
23.3444444444444,1.37220950040709,0.287125767389135,"NtoTP"
24.3888888888889,1.37220950040709,0.287125767389135,"NtoTP"
25.4333333333333,1.37220950040709,0.287125767389135,"NtoTP"
26.4777777777778,1.37220950040709,0.287125767389135,"NtoTP"
27.5222222222222,1.37220950040709,0.287125767389135,"NtoTP"
28.5666666666667,1.37220950040709,0.287125767389135,"NtoTP"
29.6111111111111,1.37220950040709,0.287125767389135,"NtoTP"
30.6555555555556,1.37220950040709,0.287125767389135,"NtoTP"
31.7,1.37220950040709,0.287125767389135,"NtoTP"
32.7444444444444,1.37220950040709,0.287125767389135,"NtoTP"
33.7888888888889,1.37220950040709,0.287125767389135,"NtoTP"
34.8333333333333,1.37220950040709,0.287125767389135,"NtoTP"
35.8777777777778,1.37220950040709,0.287125767389135,"NtoTP"
36.9222222222222,1.37220950040709,0.287125767389135,"NtoTP"
37.9666666666667,1.37220950040709,0.287125767389135,"NtoTP"
39.0111111111111,1.37163872162118,0.287006335701141,"NtoTP"
40.0555555555556,1.32482302788198,0.277210461247034,"NtoTP"
41.1,1.30586153685207,0.273242894588159,"NtoTP"
42.1444444444444,1.24270081383863,0.260026930802232,"NtoTP"
43.1888888888889,1.15963929610281,0.24264685726876,"NtoTP"
44.2333333333333,1.15216842508062,0.241083626891273,"NtoTP"
45.2777777777778,1.16529516283274,0.243830309995622,"NtoTP"
46.3222222222222,1.1738993746738,0.245630684447854,"NtoTP"
47.3666666666667,1.17412753102678,0.245678424656557,"NtoTP"
48.4111111111111,1.17413469173556,0.245679922987535,"NtoTP"
49.4555555555556,1.17933129551541,0.24676727797791,"NtoTP"
50.5,1.17824818929335,0.246540645160486,"NtoTP"
51.5444444444445,1.17000592179172,0.244816005168757,"NtoTP"
52.5888888888889,1.17228310051819,0.245292489764677,"NtoTP"
53.6333333333333,1.17324903797479,0.245494605792437,"NtoTP"
54.6777777777778,1.18493772003906,0.247940385249929,"NtoTP"
55.7222222222222,1.18418738176726,0.247783381926437,"NtoTP"
56.7666666666667,1.18377487347105,0.247697067292216,"NtoTP"
57.8111111111111,1.18431564732606,0.247810220646754,"NtoTP"
58.8555555555556,1.18469209975404,0.247888990828887,"NtoTP"
59.9,1.18596609970405,0.24815556689704,"NtoTP"
60.9444444444444,1.18976976481047,0.248951458677594,"NtoTP"
61.9888888888889,1.19455626253838,0.24995300168748,"NtoTP"
63.0333333333333,1.20025315316463,0.25114503839347,"NtoTP"
64.0777777777778,1.20051145767819,0.251199086905489,"NtoTP"
65.1222222222222,1.15376537179173,0.241417777434445,"NtoTP"
66.1666666666667,0.944318982708489,0.197592505000048,"NtoTP"
67.2111111111111,0.878515126510595,0.183823483066897,"NtoTP"
68.2555555555556,0.871038919487553,0.182259136166504,"NtoTP"
69.3,0.836796125592208,0.175094057895415,"NtoTP"
70.3444444444444,0.836335378022402,0.174997649512064,"NtoTP"
71.3888888888889,0.752336489113795,0.157421437256892,"NtoTP"
72.4333333333333,0.751993655651332,0.157349701621067,"NtoTP"
73.4777777777778,0.751106085636945,0.157163983462567,"NtoTP"
74.5222222222222,0.63288904458268,0.132427849059541,"NtoTP"
75.5666666666667,0.622851810133467,0.13032762409911,"NtoTP"
76.6111111111111,0.621566619652109,0.130058706486245,"NtoTP"
77.6555555555556,0.619830363566129,0.129695406377243,"NtoTP"
78.7,0.607323210619232,0.127078367297813,"NtoTP"
79.7444444444445,0.607323210619232,0.127078367297813,"NtoTP"
80.7888888888889,0.607323210619232,0.127078367297813,"NtoTP"
81.8333333333333,0.607323210619232,0.127078367297813,"NtoTP"
82.8777777777778,0.607323210619232,0.127078367297813,"NtoTP"
83.9222222222222,0.607323210619232,0.127078367297813,"NtoTP"
84.9666666666667,0.607323210619232,0.127078367297813,"NtoTP"
86.0111111111111,0.607323210619232,0.127078367297813,"NtoTP"
87.0555555555556,0.607323210619232,0.127078367297813,"NtoTP"
88.1,0.607323210619232,0.127078367297813,"NtoTP"
89.1444444444444,0.607323210619232,0.127078367297813,"NtoTP"
90.1888888888889,0.607323210619232,0.127078367297813,"NtoTP"
91.2333333333333,0.607323210619232,0.127078367297813,"NtoTP"
92.2777777777778,0.607323210619232,0.127078367297813,"NtoTP"
93.3222222222222,0.607323210619232,0.127078367297813,"NtoTP"
94.3666666666667,0.607323210619232,0.127078367297813,"NtoTP"
95.4111111111111,0.607323210619232,0.127078367297813,"NtoTP"
96.4555555555556,0.607323210619232,0.127078367297813,"NtoTP"
97.5,0.607323210619232,0.127078367297813,"NtoTP"
98.5444444444445,0.607323210619232,0.127078367297813,"NtoTP"
99.5888888888889,0.607323210619232,0.127078367297813,"NtoTP"
100.633333333333,0.607323210619232,0.127078367297813,"NtoTP"
101.677777777778,0.607323210619232,0.127078367297813,"NtoTP"
102.722222222222,0.607323210619232,0.127078367297813,"NtoTP"
103.766666666667,0.607323210619232,0.127078367297813,"NtoTP"
104.811111111111,0.607323210619232,0.127078367297813,"NtoTP"
105.855555555556,0.607323210619232,0.127078367297813,"NtoTP"
106.9,0.607323210619232,0.127078367297813,"NtoTP"
107.944444444444,0.607323210619232,0.127078367297813,"NtoTP"
108.988888888889,0.607323210619232,0.127078367297813,"NtoTP"
110.033333333333,0.607323210619232,0.127078367297813,"NtoTP"
111.077777777778,0.607323210619232,0.127078367297813,"NtoTP"
112.122222222222,0.607323210619232,0.127078367297813,"NtoTP"
113.166666666667,0.607323210619232,0.127078367297813,"NtoTP"
