"bf","lr","best.iter","cv.r.squared"
0.5,0.1,664,0.661464581733032
0.5,0.1,663,0.639303754181679
0.5,0.1,601,0.686330444692933
0.5,0.1,474,0.642850211195174
0.5,0.1,506,0.704670712394755
0.5,0.1,331,0.597688698538657
0.5,0.1,320,0.666524682665839
0.5,0.1,639,0.62477955259565
0.5,0.1,702,0.666452138741905
0.5,0.1,490,0.665716236074445
0.6,0.1,303,0.628522410648206
0.6,0.1,311,0.687546134961637
0.6,0.1,328,0.649094435030564
0.6,0.1,244,0.62542081031202
0.6,0.1,356,0.637554879004956
0.6,0.1,8669,0.610956378867258
0.6,0.1,679,0.674566456218165
0.6,0.1,231,0.655306224818926
0.6,0.1,397,0.614418727743676
0.6,0.1,733,0.673078415519486
0.7,0.1,496,0.720228452683276
0.7,0.1,364,0.594231558684468
0.7,0.1,260,0.695618274647455
0.7,0.1,238,0.635416053351626
0.7,0.1,286,0.659813288794294
0.7,0.1,386,0.704606257408275
0.7,0.1,173,0.682600350086769
0.7,0.1,349,0.647985662352941
0.7,0.1,234,0.680804866148384
0.7,0.1,263,0.703200754554073
0.5,0.05,921,0.624786988169156
0.5,0.05,804,0.668994407016892
0.5,0.05,805,0.717008190894649
0.5,0.05,828,0.687567841822603
0.5,0.05,971,0.614913990520083
0.5,0.05,1119,0.577150191689532
0.5,0.05,1004,0.678525505357701
0.5,0.05,1369,0.645142560145727
0.5,0.05,752,0.66704853626423
0.5,0.05,869,0.64796879979387
0.6,0.05,988,0.691462610674804
0.6,0.05,729,0.647220736314115
0.6,0.05,486,0.624730440478811
0.6,0.05,1495,0.729817216485052
0.6,0.05,1003,0.615258460843732
0.6,0.05,938,0.695315373994502
0.6,0.05,1308,0.702331963261231
0.6,0.05,39722,0.697063015106388
0.6,0.05,662,0.655057431202927
0.6,0.05,601,0.712704241855894
0.7,0.05,1615,0.710875009185825
0.7,0.05,16514,0.706456643263247
0.7,0.05,549,0.681455040896132
0.7,0.05,825,0.683474062851604
0.7,0.05,413,0.706777383653089
0.7,0.05,1483,0.692208052751975
0.7,0.05,672,0.652224798229597
0.7,0.05,336,0.690487426223726
0.7,0.05,561,0.715528996443114
0.7,0.05,382,0.684394680976442
0.5,0.01,3574,0.687779235017053
0.5,0.01,6304,0.713176236488818
0.5,0.01,6472,0.639806771417626
0.5,0.01,4793,0.674371777093309
0.5,0.01,2445,0.650987799881805
0.5,0.01,4548,0.718690817825322
0.5,0.01,4557,0.714625970698255
0.5,0.01,6931,0.683173412450102
0.5,0.01,2720,0.60183784481495
0.5,0.01,5506,0.704843174366705
0.6,0.01,8630,0.730493272576117
0.6,0.01,3038,0.668027035074614
0.6,0.01,3996,0.665794251987191
0.6,0.01,2342,0.686296415934633
0.6,0.01,2458,0.705811461876684
0.6,0.01,4426,0.707989227720406
0.6,0.01,1739,0.621122502572383
0.6,0.01,2235,0.621160287119874
0.6,0.01,6817,0.697523692058306
0.6,0.01,3294,0.707168902510741
0.7,0.01,2231,0.707237594075908
0.7,0.01,5962,0.703988061299334
0.7,0.01,2697,0.703133350433443
0.7,0.01,1859,0.698161218932823
0.7,0.01,3697,0.721978027333823
0.7,0.01,5841,0.732286490197551
0.7,0.01,1730,0.684540829816076
0.7,0.01,2198,0.691575307626198
0.7,0.01,3192,0.72503561615884
0.7,0.01,15313,0.718375352496074
0.5,0.005,13737,0.704206781684777
0.5,0.005,10050,0.649773440084869
0.5,0.005,12959,0.714580855304677
0.5,0.005,11197,0.67255713055332
0.5,0.005,15085,0.729712188292496
0.5,0.005,10508,0.708298892779744
0.5,0.005,9269,0.606204746667111
0.5,0.005,12955,0.697945451210901
0.5,0.005,4126,0.588888184442146
0.5,0.005,8028,0.665966908074106
0.6,0.005,6647,0.673428983203507
0.6,0.005,13725,0.71860752275949
0.6,0.005,13935,0.703174736864365
0.6,0.005,14936,0.732222643796998
0.6,0.005,9391,0.704244939815014
0.6,0.005,10004,0.700587478098823
0.6,0.005,15436,0.702072750057355
0.6,0.005,4486,0.644404758560596
0.6,0.005,5433,0.677300811259597
0.6,0.005,13705,0.708507466300992
0.7,0.005,3931,0.699718035314297
0.7,0.005,5178,0.706706864562968
