"bf","lr","best.iter","cv.r.squared"
0.5,0.1,599,0.377236094623946
0.5,0.1,519,0.388878876772638
0.5,0.1,505,0.358017284441227
0.5,0.1,432,0.426211222664527
0.5,0.1,364,0.31324942956936
0.5,0.1,417,0.359773531196746
0.5,0.1,287,0.48691861659095
0.5,0.1,303,0.36123990886226
0.5,0.1,393,0.303629521704731
0.5,0.1,380,0.31373026173398
0.6,0.1,412,0.335039212517724
0.6,0.1,172,0.306657142870576
0.6,0.1,369,0.342503275158468
0.6,0.1,451,0.313424944286922
0.6,0.1,334,0.333641650043736
0.6,0.1,395,0.343635300165321
0.6,0.1,305,0.32775657446476
0.6,0.1,447,0.315731722063894
0.6,0.1,503,0.295159321681484
0.6,0.1,367,0.371520619160572
0.7,0.1,530,0.315434814776268
0.7,0.1,328,0.296433410692991
0.7,0.1,528,0.33729831295851
0.7,0.1,235,0.42589469171554
0.7,0.1,366,0.319015484238894
0.7,0.1,597,0.333269512169196
0.7,0.1,646,0.372262294843153
0.7,0.1,264,0.287271372359947
0.7,0.1,294,0.331033802190122
0.7,0.1,263,0.273848583712013
0.5,0.05,899,0.359649814258639
0.5,0.05,454,0.223410749544431
0.5,0.05,1316,0.365069142300178
0.5,0.05,414,0.250577306922819
0.5,0.05,920,0.307282241231289
0.5,0.05,722,0.356930550584963
0.5,0.05,881,0.362896939998737
0.5,0.05,404,0.282816101589766
0.5,0.05,653,0.329794744003971
0.5,0.05,881,0.299877655438164
0.6,0.05,926,0.313661730480152
0.6,0.05,684,0.372367876478687
0.6,0.05,641,0.352785082192644
0.6,0.05,1080,0.350495395177191
0.6,0.05,699,0.299123966856994
0.6,0.05,986,0.36522402080029
0.6,0.05,503,0.256426370780515
0.6,0.05,631,0.33829573645507
0.6,0.05,717,0.355515180969618
0.6,0.05,999,0.325430057208016
0.7,0.05,842,0.380662768606444
0.7,0.05,754,0.366758652970259
0.7,0.05,1032,0.29826617474715
0.7,0.05,860,0.331259833984896
0.7,0.05,467,0.301150023879439
0.7,0.05,519,0.35347182042231
0.7,0.05,746,0.281696803324675
0.7,0.05,763,0.343109700371714
0.7,0.05,638,0.296526656634134
0.7,0.05,776,0.226873612738952
0.5,0.01,3525,0.385841346177994
0.5,0.01,3895,0.349823522512419
0.5,0.01,3256,0.351879357070599
0.5,0.01,3271,0.311973158693888
0.5,0.01,5234,0.379583663343159
0.5,0.01,3026,0.31006662686407
0.5,0.01,3245,0.328046950940335
0.5,0.01,3450,0.28699503870477
0.5,0.01,4198,0.328421324305478
0.5,0.01,4414,0.362185235228362
0.6,0.01,5059,0.322742077231339
0.6,0.01,3881,0.349776547165017
0.6,0.01,2212,0.251282485450235
0.6,0.01,2959,0.334814417003177
0.6,0.01,3605,0.35268299977514
0.6,0.01,4961,0.374004432846834
0.6,0.01,3473,0.331534280779604
0.6,0.01,2437,0.276406346331012
0.6,0.01,4061,0.335912190753464
0.6,0.01,4479,0.324111205378051
0.7,0.01,4604,0.351081465727581
0.7,0.01,4122,0.330549174659053
0.7,0.01,5181,0.374827878202264
0.7,0.01,5969,0.377706773656535
0.7,0.01,4653,0.330623072969346
0.7,0.01,2070,0.245285259390566
0.7,0.01,2698,0.306575687418235
0.7,0.01,2702,0.297339428689294
0.7,0.01,4564,0.352966524978803
0.7,0.01,3709,0.392000843214505
0.5,0.005,8189,0.314028362706389
0.5,0.005,7278,0.368027212570252
0.5,0.005,7701,0.393709042397656
0.5,0.005,8957,0.353586127819078
0.5,0.005,9652,0.313019692449922
0.5,0.005,6592,0.269800931216787
0.5,0.005,5240,0.267621711315155
0.5,0.005,6118,0.341062875679263
0.5,0.005,8824,0.395165646305859
0.5,0.005,7463,0.371942685297505
0.6,0.005,8336,0.371383163348364
0.6,0.005,8040,0.349893771032933
0.6,0.005,5702,0.326166035987028
0.6,0.005,6784,0.305333882762142
0.6,0.005,6455,0.271001732880057
0.6,0.005,6660,0.329310952566108
0.6,0.005,9376,0.339580127860389
0.6,0.005,5381,0.335752688154557
0.6,0.005,4972,0.310705104672605
0.6,0.005,8654,0.319207471315764
0.7,0.005,5682,0.354520865199122
0.7,0.005,6523,0.307753517781564
0.7,0.005,10428,0.320886703841371
0.7,0.005,10314,0.359198086815734
0.7,0.005,6671,0.365169790691227
0.7,0.005,9069,0.330524471985152
0.7,0.005,9740,0.355308238041012
0.7,0.005,7386,0.380382574484993
0.7,0.005,7667,0.345317029904504
0.7,0.005,5374,0.2843639107799
0.5,0.001,31214,0.326738931125538
0.5,0.001,39999,0.36601148707291
0.5,0.001,37529,0.339330668097915
0.5,0.001,32008,0.365703771374898
0.5,0.001,39631,0.414817246653268
0.5,0.001,30613,0.351605498957181
0.5,0.001,39815,0.268140959452866
0.5,0.001,37918,0.232827599416808
0.5,0.001,26157,0.341999297709627
0.5,0.001,24133,0.252284389888478
0.6,0.001,26259,0.272704647411295
0.6,0.001,35108,0.292861549399151
0.6,0.001,27752,0.289604019168867
0.6,0.001,39452,0.289151520607613
0.6,0.001,32963,0.350213018812831
0.6,0.001,37626,0.329911486286961
0.6,0.001,36044,0.346436309468794
0.6,0.001,39966,0.387780589341165
0.6,0.001,37144,0.339778782932918
0.6,0.001,33655,0.268176900736535
0.7,0.001,32935,0.300720794059606
0.7,0.001,26106,0.223884282027039
0.7,0.001,37577,0.393192150321699
0.7,0.001,35305,0.314483587949972
0.7,0.001,33793,0.311367865270413
0.7,0.001,18602,0.177956624649984
0.7,0.001,25885,0.267193528970948
0.7,0.001,38528,0.354919224007348
0.7,0.001,39008,0.286382046784008
0.7,0.001,37526,0.346528052611374
0.5,5e-04,39966,0.338175349697276
0.5,5e-04,39990,0.295864872287851
0.5,5e-04,40000,0.346449083088225
0.5,5e-04,39994,0.318602584403232
0.5,5e-04,39943,0.274513258750909
0.5,5e-04,39935,0.23755112792045
0.5,5e-04,40000,0.305693195231921
0.5,5e-04,39994,0.313635212107814
0.5,5e-04,39995,0.346476163871004
0.5,5e-04,39930,0.338712756699053
0.6,5e-04,38884,0.231374599371563
0.6,5e-04,39848,0.235729499905189
0.6,5e-04,40000,0.327049577942645
0.6,5e-04,39997,0.350427225062699
0.6,5e-04,39985,0.286972361805253
0.6,5e-04,39993,0.316170719355328
0.6,5e-04,39766,0.312339065337791
0.6,5e-04,39954,0.308699683450302
0.6,5e-04,39997,0.308574801647561
0.6,5e-04,39998,0.332593805950213
0.7,5e-04,39884,0.316337087642448
0.7,5e-04,39975,0.324194659406146
0.7,5e-04,39991,0.253623221887558
0.7,5e-04,38326,0.175206638012764
