"","TEMP","NO3_N","Predicted"
"1",2.56,0.002,1.37618270559712
"2",2.89551020408163,0.002,1.37618270559712
"3",3.23102040816327,0.002,1.37618270559712
"4",3.5665306122449,0.002,1.37618270559712
"5",3.90204081632653,0.002,1.37618270559712
"6",4.23755102040816,0.002,1.37618270559712
"7",4.5730612244898,0.002,1.38705418568903
"8",4.90857142857143,0.002,1.38705418568903
"9",5.24408163265306,0.002,1.41243805544856
"10",5.57959183673469,0.002,1.64620386017044
"11",5.91510204081633,0.002,1.64620386017044
"12",6.25061224489796,0.002,1.67420118531261
"13",6.58612244897959,0.002,1.67420118531261
"14",6.92163265306123,0.002,1.69578374294314
"15",7.25714285714286,0.002,1.69419954194729
"16",7.59265306122449,0.002,1.67953781205673
"17",7.92816326530612,0.002,1.63783667684827
"18",8.26367346938776,0.002,1.61899275037205
"19",8.59918367346939,0.002,1.59922178970743
"20",8.93469387755102,0.002,1.58043721219915
"21",9.27020408163265,0.002,1.54504407780831
"22",9.60571428571429,0.002,1.50480002563683
"23",9.94122448979592,0.002,1.52101361452405
"24",10.2767346938776,0.002,1.52101361452405
"25",10.6122448979592,0.002,1.52101361452405
"26",10.9477551020408,0.002,1.40912394337295
"27",11.2832653061225,0.002,1.28136852667607
"28",11.6187755102041,0.002,1.24912070012205
"29",11.9542857142857,0.002,1.25838166146249
"30",12.2897959183673,0.002,1.23632741689222
"31",12.625306122449,0.002,1.21530212598061
"32",12.9608163265306,0.002,1.21530212598061
"33",13.2963265306122,0.002,1.21530212598061
"34",13.6318367346939,0.002,1.21530212598061
"35",13.9673469387755,0.002,1.21530212598061
"36",14.3028571428571,0.002,1.21530212598061
"37",14.6383673469388,0.002,1.21530212598061
"38",14.9738775510204,0.002,1.21530212598061
"39",15.309387755102,0.002,1.21530212598061
"40",15.6448979591837,0.002,1.21530212598061
"41",15.9804081632653,0.002,1.21530212598061
"42",16.3159183673469,0.002,1.21530212598061
"43",16.6514285714286,0.002,1.21530212598061
"44",16.9869387755102,0.002,1.21530212598061
"45",17.3224489795918,0.002,1.21530212598061
"46",17.6579591836735,0.002,1.21530212598061
"47",17.9934693877551,0.002,1.21530212598061
"48",18.3289795918367,0.002,1.21530212598061
"49",18.6644897959184,0.002,1.21530212598061
"50",19,0.002,1.21530212598061
"51",2.56,0.0100612244897959,1.37618270559712
"52",2.89551020408163,0.0100612244897959,1.37618270559712
"53",3.23102040816327,0.0100612244897959,1.37618270559712
"54",3.5665306122449,0.0100612244897959,1.37618270559712
"55",3.90204081632653,0.0100612244897959,1.37618270559712
"56",4.23755102040816,0.0100612244897959,1.37618270559712
"57",4.5730612244898,0.0100612244897959,1.38705418568903
"58",4.90857142857143,0.0100612244897959,1.38705418568903
"59",5.24408163265306,0.0100612244897959,1.41243805544856
"60",5.57959183673469,0.0100612244897959,1.64620386017044
"61",5.91510204081633,0.0100612244897959,1.64620386017044
"62",6.25061224489796,0.0100612244897959,1.67420118531261
"63",6.58612244897959,0.0100612244897959,1.67420118531261
"64",6.92163265306123,0.0100612244897959,1.69578374294314
"65",7.25714285714286,0.0100612244897959,1.69419954194729
"66",7.59265306122449,0.0100612244897959,1.67953781205673
"67",7.92816326530612,0.0100612244897959,1.63783667684827
"68",8.26367346938776,0.0100612244897959,1.61899275037205
"69",8.59918367346939,0.0100612244897959,1.59922178970743
"70",8.93469387755102,0.0100612244897959,1.58043721219915
"71",9.27020408163265,0.0100612244897959,1.54504407780831
"72",9.60571428571429,0.0100612244897959,1.50480002563683
"73",9.94122448979592,0.0100612244897959,1.52101361452405
"74",10.2767346938776,0.0100612244897959,1.52101361452405
"75",10.6122448979592,0.0100612244897959,1.52101361452405
"76",10.9477551020408,0.0100612244897959,1.40912394337295
"77",11.2832653061225,0.0100612244897959,1.28136852667607
"78",11.6187755102041,0.0100612244897959,1.24912070012205
"79",11.9542857142857,0.0100612244897959,1.25838166146249
"80",12.2897959183673,0.0100612244897959,1.23632741689222
"81",12.625306122449,0.0100612244897959,1.21530212598061
"82",12.9608163265306,0.0100612244897959,1.21530212598061
"83",13.2963265306122,0.0100612244897959,1.21530212598061
"84",13.6318367346939,0.0100612244897959,1.21530212598061
"85",13.9673469387755,0.0100612244897959,1.21530212598061
"86",14.3028571428571,0.0100612244897959,1.21530212598061
"87",14.6383673469388,0.0100612244897959,1.21530212598061
"88",14.9738775510204,0.0100612244897959,1.21530212598061
"89",15.309387755102,0.0100612244897959,1.21530212598061
"90",15.6448979591837,0.0100612244897959,1.21530212598061
"91",15.9804081632653,0.0100612244897959,1.21530212598061
"92",16.3159183673469,0.0100612244897959,1.21530212598061
"93",16.6514285714286,0.0100612244897959,1.21530212598061
"94",16.9869387755102,0.0100612244897959,1.21530212598061
"95",17.3224489795918,0.0100612244897959,1.21530212598061
"96",17.6579591836735,0.0100612244897959,1.21530212598061
"97",17.9934693877551,0.0100612244897959,1.21530212598061
"98",18.3289795918367,0.0100612244897959,1.21530212598061
"99",18.6644897959184,0.0100612244897959,1.21530212598061
"100",19,0.0100612244897959,1.21530212598061
"101",2.56,0.0181224489795918,1.37618270559712
"102",2.89551020408163,0.0181224489795918,1.37618270559712
"103",3.23102040816327,0.0181224489795918,1.37618270559712
"104",3.5665306122449,0.0181224489795918,1.37618270559712
"105",3.90204081632653,0.0181224489795918,1.37618270559712
