"","TDP_P","DOC","Predicted"
"1",0.31,0.29,1.0229393982096
"2",0.564897959183673,0.29,1.0229393982096
"3",0.819795918367347,0.29,1.0229393982096
"4",1.07469387755102,0.29,1.0229393982096
"5",1.32959183673469,0.29,0.995025945705801
"6",1.58448979591837,0.29,0.953552298327563
"7",1.83938775510204,0.29,0.890623962168682
"8",2.09428571428571,0.29,0.910734753855539
"9",2.34918367346939,0.29,1.14546271656232
"10",2.60408163265306,0.29,1.12095942945715
"11",2.85897959183673,0.29,1.12181751455266
"12",3.11387755102041,0.29,1.09069656027342
"13",3.36877551020408,0.29,1.10850389845108
"14",3.62367346938776,0.29,1.14801868049656
"15",3.87857142857143,0.29,1.10112212353393
"16",4.1334693877551,0.29,1.10112212353393
"17",4.38836734693878,0.29,1.11933282448679
"18",4.64326530612245,0.29,1.15318003265127
"19",4.89816326530612,0.29,1.21645859798719
"20",5.1530612244898,0.29,1.22097490171295
"21",5.40795918367347,0.29,1.22097490171295
"22",5.66285714285714,0.29,1.22097490171295
"23",5.91775510204082,0.29,1.22097490171295
"24",6.17265306122449,0.29,1.22097490171295
"25",6.42755102040816,0.29,1.22097490171295
"26",6.68244897959184,0.29,1.22097490171295
"27",6.93734693877551,0.29,1.24614678630579
"28",7.19224489795918,0.29,1.27756291027269
"29",7.44714285714286,0.29,1.31288691788975
"30",7.70204081632653,0.29,1.32562420667559
"31",7.9569387755102,0.29,1.32562420667559
"32",8.21183673469388,0.29,1.32562420667559
"33",8.46673469387755,0.29,1.32562420667559
"34",8.72163265306122,0.29,1.32562420667559
"35",8.9765306122449,0.29,1.32562420667559
"36",9.23142857142857,0.29,1.32562420667559
"37",9.48632653061225,0.29,1.32562420667559
"38",9.74122448979592,0.29,1.32562420667559
"39",9.99612244897959,0.29,1.32562420667559
"40",10.2510204081633,0.29,1.32562420667559
"41",10.5059183673469,0.29,1.32562420667559
"42",10.7608163265306,0.29,1.32562420667559
"43",11.0157142857143,0.29,1.32562420667559
"44",11.270612244898,0.29,1.32562420667559
"45",11.5255102040816,0.29,1.32562420667559
"46",11.7804081632653,0.29,1.32562420667559
"47",12.035306122449,0.29,1.32562420667559
"48",12.2902040816327,0.29,1.32562420667559
"49",12.5451020408163,0.29,1.32562420667559
"50",12.8,0.29,1.32562420667559
"51",0.31,0.428979591836735,1.0229393982096
"52",0.564897959183673,0.428979591836735,1.0229393982096
"53",0.819795918367347,0.428979591836735,1.0229393982096
"54",1.07469387755102,0.428979591836735,1.0229393982096
"55",1.32959183673469,0.428979591836735,0.995025945705801
"56",1.58448979591837,0.428979591836735,0.953552298327563
"57",1.83938775510204,0.428979591836735,0.890623962168682
"58",2.09428571428571,0.428979591836735,0.910734753855539
"59",2.34918367346939,0.428979591836735,1.14546271656232
"60",2.60408163265306,0.428979591836735,1.12095942945715
"61",2.85897959183673,0.428979591836735,1.12181751455266
"62",3.11387755102041,0.428979591836735,1.09069656027342
"63",3.36877551020408,0.428979591836735,1.10850389845108
"64",3.62367346938776,0.428979591836735,1.14801868049656
"65",3.87857142857143,0.428979591836735,1.10112212353393
"66",4.1334693877551,0.428979591836735,1.10112212353393
"67",4.38836734693878,0.428979591836735,1.11933282448679
"68",4.64326530612245,0.428979591836735,1.15318003265127
"69",4.89816326530612,0.428979591836735,1.21645859798719
"70",5.1530612244898,0.428979591836735,1.22097490171295
"71",5.40795918367347,0.428979591836735,1.22097490171295
"72",5.66285714285714,0.428979591836735,1.22097490171295
"73",5.91775510204082,0.428979591836735,1.22097490171295
"74",6.17265306122449,0.428979591836735,1.22097490171295
"75",6.42755102040816,0.428979591836735,1.22097490171295
"76",6.68244897959184,0.428979591836735,1.22097490171295
"77",6.93734693877551,0.428979591836735,1.24614678630579
"78",7.19224489795918,0.428979591836735,1.27756291027269
"79",7.44714285714286,0.428979591836735,1.31288691788975
"80",7.70204081632653,0.428979591836735,1.32562420667559
"81",7.9569387755102,0.428979591836735,1.32562420667559
"82",8.21183673469388,0.428979591836735,1.32562420667559
"83",8.46673469387755,0.428979591836735,1.32562420667559
"84",8.72163265306122,0.428979591836735,1.32562420667559
"85",8.9765306122449,0.428979591836735,1.32562420667559
"86",9.23142857142857,0.428979591836735,1.32562420667559
"87",9.48632653061225,0.428979591836735,1.32562420667559
"88",9.74122448979592,0.428979591836735,1.32562420667559
"89",9.99612244897959,0.428979591836735,1.32562420667559
"90",10.2510204081633,0.428979591836735,1.32562420667559
"91",10.5059183673469,0.428979591836735,1.32562420667559
"92",10.7608163265306,0.428979591836735,1.32562420667559
"93",11.0157142857143,0.428979591836735,1.32562420667559
"94",11.270612244898,0.428979591836735,1.32562420667559
"95",11.5255102040816,0.428979591836735,1.32562420667559
"96",11.7804081632653,0.428979591836735,1.32562420667559
"97",12.035306122449,0.428979591836735,1.32562420667559
"98",12.2902040816327,0.428979591836735,1.32562420667559
"99",12.5451020408163,0.428979591836735,1.32562420667559
"100",12.8,0.428979591836735,1.32562420667559
"101",0.31,0.567959183673469,1.0229393982096
"102",0.564897959183673,0.567959183673469,1.0229393982096
