"","tmean_day","ppt_week","Predicted"
"1",5.619,0,1.5182056115324
"2",5.83942857142857,0,1.5182056115324
"3",6.05985714285714,0,1.5182056115324
"4",6.28028571428571,0,1.5182056115324
"5",6.50071428571429,0,1.5182056115324
"6",6.72114285714286,0,1.5182056115324
"7",6.94157142857143,0,1.5182056115324
"8",7.162,0,1.5182056115324
"9",7.38242857142857,0,1.5182056115324
"10",7.60285714285714,0,1.5182056115324
"11",7.82328571428571,0,1.5182056115324
"12",8.04371428571429,0,1.5182056115324
"13",8.26414285714286,0,1.5182056115324
"14",8.48457142857143,0,1.5182056115324
"15",8.705,0,1.5182056115324
"16",8.92542857142857,0,1.5182056115324
"17",9.14585714285714,0,1.5182056115324
"18",9.36628571428571,0,1.49746447322778
"19",9.58671428571429,0,1.49746447322778
"20",9.80714285714286,0,1.49746447322778
"21",10.0275714285714,0,1.49746447322778
"22",10.248,0,1.49746447322778
"23",10.4684285714286,0,1.49746447322778
"24",10.6888571428571,0,1.49746447322778
"25",10.9092857142857,0,1.49746447322778
"26",11.1297142857143,0,1.5506173354269
"27",11.3501428571429,0,1.62197769213167
"28",11.5705714285714,0,1.67815025560321
"29",11.791,0,1.67815025560321
"30",12.0114285714286,0,1.72917078646754
"31",12.2318571428571,0,1.67391170080816
"32",12.4522857142857,0,1.66573152374603
"33",12.6727142857143,0,1.70905953228552
"34",12.8931428571429,0,1.70905953228552
"35",13.1135714285714,0,1.70905953228552
"36",13.334,0,1.59280090837053
"37",13.5544285714286,0,1.59280090837053
"38",13.7748571428571,0,1.59280090837053
"39",13.9952857142857,0,1.59280090837053
"40",14.2157142857143,0,1.59280090837053
"41",14.4361428571429,0,1.59280090837053
"42",14.6565714285714,0,1.59280090837053
"43",14.877,0,1.59280090837053
"44",15.0974285714286,0,1.59280090837053
"45",15.3178571428571,0,1.59280090837053
"46",15.5382857142857,0,1.59280090837053
"47",15.7587142857143,0,1.59280090837053
"48",15.9791428571429,0,1.59280090837053
"49",16.1995714285714,0,1.59280090837053
"50",16.42,0,1.59280090837053
"51",5.619,0.551857142857143,1.34869921307993
"52",5.83942857142857,0.551857142857143,1.34869921307993
"53",6.05985714285714,0.551857142857143,1.34869921307993
"54",6.28028571428571,0.551857142857143,1.34869921307993
"55",6.50071428571429,0.551857142857143,1.34869921307993
"56",6.72114285714286,0.551857142857143,1.34869921307993
"57",6.94157142857143,0.551857142857143,1.34869921307993
"58",7.162,0.551857142857143,1.34869921307993
"59",7.38242857142857,0.551857142857143,1.34869921307993
"60",7.60285714285714,0.551857142857143,1.34869921307993
"61",7.82328571428571,0.551857142857143,1.34869921307993
"62",8.04371428571429,0.551857142857143,1.34869921307993
"63",8.26414285714286,0.551857142857143,1.34869921307993
"64",8.48457142857143,0.551857142857143,1.34869921307993
"65",8.705,0.551857142857143,1.34869921307993
"66",8.92542857142857,0.551857142857143,1.34869921307993
"67",9.14585714285714,0.551857142857143,1.34869921307993
"68",9.36628571428571,0.551857142857143,1.32795807477531
"69",9.58671428571429,0.551857142857143,1.32795807477531
"70",9.80714285714286,0.551857142857143,1.32795807477531
"71",10.0275714285714,0.551857142857143,1.32795807477531
"72",10.248,0.551857142857143,1.32795807477531
"73",10.4684285714286,0.551857142857143,1.32795807477531
"74",10.6888571428571,0.551857142857143,1.32795807477531
"75",10.9092857142857,0.551857142857143,1.32795807477531
"76",11.1297142857143,0.551857142857143,1.38111093697442
"77",11.3501428571429,0.551857142857143,1.45247129367919
"78",11.5705714285714,0.551857142857143,1.50864385715073
"79",11.791,0.551857142857143,1.50864385715073
"80",12.0114285714286,0.551857142857143,1.55966438801506
"81",12.2318571428571,0.551857142857143,1.50440530235568
"82",12.4522857142857,0.551857142857143,1.49622512529355
"83",12.6727142857143,0.551857142857143,1.53955313383305
"84",12.8931428571429,0.551857142857143,1.53955313383305
"85",13.1135714285714,0.551857142857143,1.53955313383305
"86",13.334,0.551857142857143,1.42329450991805
"87",13.5544285714286,0.551857142857143,1.42329450991805
"88",13.7748571428571,0.551857142857143,1.42329450991805
"89",13.9952857142857,0.551857142857143,1.42329450991805
"90",14.2157142857143,0.551857142857143,1.42329450991805
"91",14.4361428571429,0.551857142857143,1.42329450991805
"92",14.6565714285714,0.551857142857143,1.42329450991805
"93",14.877,0.551857142857143,1.42329450991805
"94",15.0974285714286,0.551857142857143,1.42329450991805
"95",15.3178571428571,0.551857142857143,1.42329450991805
"96",15.5382857142857,0.551857142857143,1.42329450991805
"97",15.7587142857143,0.551857142857143,1.42329450991805
"98",15.9791428571429,0.551857142857143,1.42329450991805
"99",16.1995714285714,0.551857142857143,1.42329450991805
"100",16.42,0.551857142857143,1.42329450991805
"101",5.619,1.10371428571429,1.34869921307993
"102",5.83942857142857,1.10371428571429,1.34869921307993
"103",6.05985714285714,1.10371428571429,1.34869921307993
"104",6.28028571428571,1.10371428571429,1.34869921307993
"105",6.50071428571429,1.10371428571429,1.34869921307993
"106",6.72114285714286,1.10371428571429,1.34869921307993
"107",6.94157142857143,1.10371428571429,1.34869921307993
"108",7.162,1.10371428571429,1.34869921307993
"109",7.38242857142857,1.10371428571429,1.34869921307993
"110",7.60285714285714,1.10371428571429,1.34869921307993
"111",7.82328571428571,1.10371428571429,1.34869921307993
"112",8.04371428571429,1.10371428571429,1.34869921307993
"113",8.26414285714286,1.10371428571429,1.34869921307993
"114",8.48457142857143,1.10371428571429,1.34869921307993
"115",8.705,1.10371428571429,1.34869921307993
"116",8.92542857142857,1.10371428571429,1.34869921307993
