"","tmean_day","tmean_month","Predicted"
"1",5.619,2.403333,1.27602860498481
"2",5.83942857142857,2.403333,1.27602860498481
"3",6.05985714285714,2.403333,1.27602860498481
"4",6.28028571428571,2.403333,1.27602860498481
"5",6.50071428571429,2.403333,1.27602860498481
"6",6.72114285714286,2.403333,1.27602860498481
"7",6.94157142857143,2.403333,1.27602860498481
"8",7.162,2.403333,1.27602860498481
"9",7.38242857142857,2.403333,1.27602860498481
"10",7.60285714285714,2.403333,1.27602860498481
"11",7.82328571428571,2.403333,1.27602860498481
"12",8.04371428571429,2.403333,1.27602860498481
"13",8.26414285714286,2.403333,1.27602860498481
"14",8.48457142857143,2.403333,1.27602860498481
"15",8.705,2.403333,1.27602860498481
"16",8.92542857142857,2.403333,1.27602860498481
"17",9.14585714285714,2.403333,1.27602860498481
"18",9.36628571428571,2.403333,1.25528746668019
"19",9.58671428571429,2.403333,1.25528746668019
"20",9.80714285714286,2.403333,1.25528746668019
"21",10.0275714285714,2.403333,1.25528746668019
"22",10.248,2.403333,1.25528746668019
"23",10.4684285714286,2.403333,1.25528746668019
"24",10.6888571428571,2.403333,1.25528746668019
"25",10.9092857142857,2.403333,1.25528746668019
"26",11.1297142857143,2.403333,1.3084403288793
"27",11.3501428571429,2.403333,1.37980068558408
"28",11.5705714285714,2.403333,1.43597324905561
"29",11.791,2.403333,1.43597324905561
"30",12.0114285714286,2.403333,1.48699377991994
"31",12.2318571428571,2.403333,1.45769940262516
"32",12.4522857142857,2.403333,1.44951922556303
"33",12.6727142857143,2.403333,1.51759719568205
"34",12.8931428571429,2.403333,1.51759719568205
"35",13.1135714285714,2.403333,1.51759719568205
"36",13.334,2.403333,1.40133857176706
"37",13.5544285714286,2.403333,1.40133857176706
"38",13.7748571428571,2.403333,1.40133857176706
"39",13.9952857142857,2.403333,1.40133857176706
"40",14.2157142857143,2.403333,1.40133857176706
"41",14.4361428571429,2.403333,1.40133857176706
"42",14.6565714285714,2.403333,1.40133857176706
"43",14.877,2.403333,1.40133857176706
"44",15.0974285714286,2.403333,1.40133857176706
"45",15.3178571428571,2.403333,1.40133857176706
"46",15.5382857142857,2.403333,1.40133857176706
"47",15.7587142857143,2.403333,1.40133857176706
"48",15.9791428571429,2.403333,1.40133857176706
"49",16.1995714285714,2.403333,1.40133857176706
"50",16.42,2.403333,1.40133857176706
"51",5.619,2.64973506122449,1.27602860498481
"52",5.83942857142857,2.64973506122449,1.27602860498481
"53",6.05985714285714,2.64973506122449,1.27602860498481
"54",6.28028571428571,2.64973506122449,1.27602860498481
"55",6.50071428571429,2.64973506122449,1.27602860498481
"56",6.72114285714286,2.64973506122449,1.27602860498481
"57",6.94157142857143,2.64973506122449,1.27602860498481
"58",7.162,2.64973506122449,1.27602860498481
"59",7.38242857142857,2.64973506122449,1.27602860498481
"60",7.60285714285714,2.64973506122449,1.27602860498481
"61",7.82328571428571,2.64973506122449,1.27602860498481
"62",8.04371428571429,2.64973506122449,1.27602860498481
"63",8.26414285714286,2.64973506122449,1.27602860498481
"64",8.48457142857143,2.64973506122449,1.27602860498481
"65",8.705,2.64973506122449,1.27602860498481
"66",8.92542857142857,2.64973506122449,1.27602860498481
"67",9.14585714285714,2.64973506122449,1.27602860498481
"68",9.36628571428571,2.64973506122449,1.25528746668019
"69",9.58671428571429,2.64973506122449,1.25528746668019
"70",9.80714285714286,2.64973506122449,1.25528746668019
"71",10.0275714285714,2.64973506122449,1.25528746668019
"72",10.248,2.64973506122449,1.25528746668019
"73",10.4684285714286,2.64973506122449,1.25528746668019
"74",10.6888571428571,2.64973506122449,1.25528746668019
"75",10.9092857142857,2.64973506122449,1.25528746668019
"76",11.1297142857143,2.64973506122449,1.3084403288793
"77",11.3501428571429,2.64973506122449,1.37980068558408
"78",11.5705714285714,2.64973506122449,1.43597324905561
"79",11.791,2.64973506122449,1.43597324905561
"80",12.0114285714286,2.64973506122449,1.48699377991994
"81",12.2318571428571,2.64973506122449,1.45769940262516
"82",12.4522857142857,2.64973506122449,1.44951922556303
"83",12.6727142857143,2.64973506122449,1.51759719568205
"84",12.8931428571429,2.64973506122449,1.51759719568205
"85",13.1135714285714,2.64973506122449,1.51759719568205
"86",13.334,2.64973506122449,1.40133857176706
"87",13.5544285714286,2.64973506122449,1.40133857176706
"88",13.7748571428571,2.64973506122449,1.40133857176706
"89",13.9952857142857,2.64973506122449,1.40133857176706
"90",14.2157142857143,2.64973506122449,1.40133857176706
"91",14.4361428571429,2.64973506122449,1.40133857176706
"92",14.6565714285714,2.64973506122449,1.40133857176706
"93",14.877,2.64973506122449,1.40133857176706
"94",15.0974285714286,2.64973506122449,1.40133857176706
"95",15.3178571428571,2.64973506122449,1.40133857176706
"96",15.5382857142857,2.64973506122449,1.40133857176706
"97",15.7587142857143,2.64973506122449,1.40133857176706
"98",15.9791428571429,2.64973506122449,1.40133857176706
"99",16.1995714285714,2.64973506122449,1.40133857176706
"100",16.42,2.64973506122449,1.40133857176706
"101",5.619,2.89613712244898,1.27602860498481
"102",5.83942857142857,2.89613712244898,1.27602860498481
"103",6.05985714285714,2.89613712244898,1.27602860498481
"104",6.28028571428571,2.89613712244898,1.27602860498481
"105",6.50071428571429,2.89613712244898,1.27602860498481
"106",6.72114285714286,2.89613712244898,1.27602860498481
"107",6.94157142857143,2.89613712244898,1.27602860498481
"108",7.162,2.89613712244898,1.27602860498481
"109",7.38242857142857,2.89613712244898,1.27602860498481
"110",7.60285714285714,2.89613712244898,1.27602860498481
"111",7.82328571428571,2.89613712244898,1.27602860498481
