"n.trees","cv.r.squared"
20091,0.601495011986482
19253,0.611850533913223
20350,0.610628322082116
27373,0.637028602873252
24845,0.601739397276991
27322,0.628243895195017
19317,0.584940666163399
16720,0.581291990657646
28620,0.585713882873335
28739,0.639414452458959
23037,0.588411432192745
24509,0.614519873557875
28728,0.628209832494707
28748,0.609515902735681
16734,0.590827447944183
27983,0.606483451357912
28780,0.610278609246074
26584,0.644218850075834
28494,0.601642217190013
23692,0.632246767801489
28680,0.587885172404434
21292,0.621726115208717
25974,0.601941095312452
18140,0.592243435203985
28089,0.653670157389954
17732,0.600211487206825
14605,0.588452144910874
16992,0.575032850669133
21521,0.63400148964027
28308,0.610396754192973
28698,0.641378558983456
28159,0.63150326068121
28777,0.62766680717889
16626,0.595965520483747
19451,0.633817489630587
27575,0.592707184033029
28503,0.589118078037931
27304,0.620265232818254
21403,0.626624991919064
28775,0.6171091678064
28779,0.6001586673271
18218,0.605869437649135
28778,0.641055230416015
16551,0.580945010024433
28687,0.624622451958805
19653,0.609775710388339
28145,0.599081555535609
24144,0.60613427183768
28780,0.66176497536528
28506,0.644263210645554
21694,0.602269503282259
25096,0.645932957266679
16151,0.646601648798635
21597,0.638615509425871
19403,0.607346274011853
28769,0.635617544465838
19471,0.652557962605453
28720,0.631204793868604
28092,0.608926117446903
23667,0.614126729811139
14935,0.580943181489119
28671,0.63670330628021
28640,0.637554210386564
28534,0.61666932802193
23849,0.59176806792188
28765,0.610180556261667
19810,0.576420335337913
19525,0.572051432339664
20621,0.637786141103077
25000,0.600771818153955
17716,0.620110784905905
28780,0.603749362738187
26269,0.61193483914133
27298,0.636018101774478
28528,0.592909575509897
22308,0.597830457309376
19549,0.612107124030739
28743,0.612337285212181
22368,0.607639736145687
27002,0.636126704445815
28774,0.588044488023553
16808,0.635494364798891
21051,0.590465028503553
17994,0.630094161180464
15437,0.592258551903123
16502,0.604222104809203
28174,0.640808485574273
25043,0.624031631175798
28435,0.634989028261646
22070,0.655427915914359
27905,0.59452010400474
28726,0.596806877764105
27337,0.602112616059762
27790,0.606889842498148
23021,0.614425234664614
28726,0.620492335851099
28777,0.642575523547323
24299,0.632034454512895
17751,0.614808206254643
28736,0.624625468692415
