"","ppt_week","elevation_m","Predicted"
"1",0,2987,1.64999474257869
"2",0.551857142857143,2987,1.39866261627098
"3",1.10371428571429,2987,1.34101760566726
"4",1.65557142857143,2987,1.22015777470862
"5",2.20742857142857,2987,1.49669504131313
"6",2.75928571428571,2987,1.48713846837048
"7",3.31114285714286,2987,1.48713846837048
"8",3.863,2987,1.45702454624587
"9",4.41485714285714,2987,1.4984887651164
"10",4.96671428571429,2987,1.41804415284421
"11",5.51857142857143,2987,1.38803655061008
"12",6.07042857142857,2987,1.27457215525394
"13",6.62228571428571,2987,1.21803598397862
"14",7.17414285714286,2987,1.21803598397862
"15",7.726,2987,1.23857637960358
"16",8.27785714285714,2987,1.23857637960358
"17",8.82971428571429,2987,1.1844119105358
"18",9.38157142857143,2987,1.1171073910618
"19",9.93342857142857,2987,1.1171073910618
"20",10.4852857142857,2987,1.13283485415917
"21",11.0371428571429,2987,1.13283485415917
"22",11.589,2987,1.13283485415917
"23",12.1408571428571,2987,1.13283485415917
"24",12.6927142857143,2987,1.13283485415917
"25",13.2445714285714,2987,1.13283485415917
"26",13.7964285714286,2987,1.13283485415917
"27",14.3482857142857,2987,1.25261764681166
"28",14.9001428571429,2987,1.32118638196715
"29",15.452,2987,1.32118638196715
"30",16.0038571428571,2987,1.32118638196715
"31",16.5557142857143,2987,1.38635946085689
"32",17.1075714285714,2987,1.38635946085689
"33",17.6594285714286,2987,1.46192786718591
"34",18.2112857142857,2987,1.50652966757029
"35",18.7631428571429,2987,1.58682180471622
"36",19.315,2987,1.58682180471622
"37",19.8668571428571,2987,1.58682180471622
"38",20.4187142857143,2987,1.58682180471622
"39",20.9705714285714,2987,1.58682180471622
"40",21.5224285714286,2987,1.58682180471622
"41",22.0742857142857,2987,1.58682180471622
"42",22.6261428571429,2987,1.58682180471622
"43",23.178,2987,1.58682180471622
"44",23.7298571428571,2987,1.58682180471622
"45",24.2817142857143,2987,1.58682180471622
"46",24.8335714285714,2987,1.58682180471622
"47",25.3854285714286,2987,1.58682180471622
"48",25.9372857142857,2987,1.58682180471622
"49",26.4891428571429,2987,1.58682180471622
"50",27.041,2987,1.58682180471622
"51",0,2998.48979591837,1.64999474257869
"52",0.551857142857143,2998.48979591837,1.39866261627098
"53",1.10371428571429,2998.48979591837,1.34101760566726
"54",1.65557142857143,2998.48979591837,1.22015777470862
"55",2.20742857142857,2998.48979591837,1.49669504131313
"56",2.75928571428571,2998.48979591837,1.48713846837048
"57",3.31114285714286,2998.48979591837,1.48713846837048
"58",3.863,2998.48979591837,1.45702454624587
"59",4.41485714285714,2998.48979591837,1.4984887651164
"60",4.96671428571429,2998.48979591837,1.41804415284421
"61",5.51857142857143,2998.48979591837,1.38803655061008
"62",6.07042857142857,2998.48979591837,1.27457215525394
"63",6.62228571428571,2998.48979591837,1.21803598397862
"64",7.17414285714286,2998.48979591837,1.21803598397862
"65",7.726,2998.48979591837,1.23857637960358
"66",8.27785714285714,2998.48979591837,1.23857637960358
"67",8.82971428571429,2998.48979591837,1.1844119105358
"68",9.38157142857143,2998.48979591837,1.1171073910618
"69",9.93342857142857,2998.48979591837,1.1171073910618
"70",10.4852857142857,2998.48979591837,1.13283485415917
"71",11.0371428571429,2998.48979591837,1.13283485415917
"72",11.589,2998.48979591837,1.13283485415917
"73",12.1408571428571,2998.48979591837,1.13283485415917
"74",12.6927142857143,2998.48979591837,1.13283485415917
"75",13.2445714285714,2998.48979591837,1.13283485415917
"76",13.7964285714286,2998.48979591837,1.13283485415917
"77",14.3482857142857,2998.48979591837,1.25261764681166
"78",14.9001428571429,2998.48979591837,1.32118638196715
"79",15.452,2998.48979591837,1.32118638196715
"80",16.0038571428571,2998.48979591837,1.32118638196715
"81",16.5557142857143,2998.48979591837,1.38635946085689
"82",17.1075714285714,2998.48979591837,1.38635946085689
"83",17.6594285714286,2998.48979591837,1.46192786718591
"84",18.2112857142857,2998.48979591837,1.50652966757029
"85",18.7631428571429,2998.48979591837,1.58682180471622
"86",19.315,2998.48979591837,1.58682180471622
"87",19.8668571428571,2998.48979591837,1.58682180471622
"88",20.4187142857143,2998.48979591837,1.58682180471622
"89",20.9705714285714,2998.48979591837,1.58682180471622
"90",21.5224285714286,2998.48979591837,1.58682180471622
"91",22.0742857142857,2998.48979591837,1.58682180471622
"92",22.6261428571429,2998.48979591837,1.58682180471622
"93",23.178,2998.48979591837,1.58682180471622
"94",23.7298571428571,2998.48979591837,1.58682180471622
"95",24.2817142857143,2998.48979591837,1.58682180471622
"96",24.8335714285714,2998.48979591837,1.58682180471622
"97",25.3854285714286,2998.48979591837,1.58682180471622
"98",25.9372857142857,2998.48979591837,1.58682180471622
"99",26.4891428571429,2998.48979591837,1.58682180471622
"100",27.041,2998.48979591837,1.58682180471622
"101",0,3009.97959183673,1.64999474257869
"102",0.551857142857143,3009.97959183673,1.39866261627098
"103",1.10371428571429,3009.97959183673,1.34101760566726
"104",1.65557142857143,3009.97959183673,1.22015777470862
"105",2.20742857142857,3009.97959183673,1.49669504131313
"106",2.75928571428571,3009.97959183673,1.48713846837048
"107",3.31114285714286,3009.97959183673,1.48713846837048
"108",3.863,3009.97959183673,1.45702454624587
"109",4.41485714285714,3009.97959183673,1.4984887651164
"110",4.96671428571429,3009.97959183673,1.41804415284421
"111",5.51857142857143,3009.97959183673,1.38803655061008
"112",6.07042857142857,3009.97959183673,1.27457215525394
"113",6.62228571428571,3009.97959183673,1.21803598397862
"114",7.17414285714286,3009.97959183673,1.21803598397862
"115",7.726,3009.97959183673,1.23857637960358
