"","tmean_month","site_type_num","Predicted"
"1",2.403333,0,1.40461786000905
"2",2.64973506122449,0,1.40461786000905
"3",2.89613712244898,0,1.40461786000905
"4",3.14253918367347,0,1.40461786000905
"5",3.38894124489796,0,1.40461786000905
"6",3.63534330612245,0,1.40461786000905
"7",3.88174536734694,0,1.40461786000905
"8",4.12814742857143,0,1.40461786000905
"9",4.37454948979592,0,1.40461786000905
"10",4.62095155102041,0,1.40461786000905
"11",4.8673536122449,0,1.40461786000905
"12",5.11375567346939,0,1.40461786000905
"13",5.36015773469388,0,1.40461786000905
"14",5.60655979591837,0,1.40461786000905
"15",5.85296185714286,0,1.40461786000905
"16",6.09936391836735,0,1.40461786000905
"17",6.34576597959184,0,1.40461786000905
"18",6.59216804081633,0,1.40461786000905
"19",6.83857010204082,0,1.40461786000905
"20",7.08497216326531,0,1.40461786000905
"21",7.3313742244898,0,1.40461786000905
"22",7.57777628571429,0,1.40461786000905
"23",7.82417834693878,0,1.40461786000905
"24",8.07058040816327,0,1.40461786000905
"25",8.31698246938775,0,1.40461786000905
"26",8.56338453061224,0,1.40461786000905
"27",8.80978659183673,0,1.40461786000905
"28",9.05618865306122,0,1.44187886033257
"29",9.30259071428571,0,1.55267753023151
"30",9.5489927755102,0,1.55267753023151
"31",9.79539483673469,0,1.54763862122228
"32",10.0417968979592,0,1.23730203681284
"33",10.2881989591837,0,1.23730203681284
"34",10.5346010204082,0,1.23393827299171
"35",10.7810030816327,0,1.12467883092728
"36",11.0274051428571,0,1.28413314128897
"37",11.2738072040816,0,1.25277940420758
"38",11.5202092653061,0,1.27009310578622
"39",11.7666113265306,0,1.33813239079952
"40",12.0130133877551,0,1.38562983238056
"41",12.2594154489796,0,1.38562983238056
"42",12.5058175102041,0,1.3267512369524
"43",12.7522195714286,0,1.3267512369524
"44",12.9986216326531,0,1.3267512369524
"45",13.2450236938776,0,1.3267512369524
"46",13.491425755102,0,1.3267512369524
"47",13.7378278163265,0,1.3267512369524
"48",13.984229877551,0,1.3267512369524
"49",14.2306319387755,0,1.3267512369524
"50",14.477034,0,1.3267512369524
"51",2.403333,0.0204081632653061,1.40461786000905
"52",2.64973506122449,0.0204081632653061,1.40461786000905
"53",2.89613712244898,0.0204081632653061,1.40461786000905
"54",3.14253918367347,0.0204081632653061,1.40461786000905
"55",3.38894124489796,0.0204081632653061,1.40461786000905
"56",3.63534330612245,0.0204081632653061,1.40461786000905
"57",3.88174536734694,0.0204081632653061,1.40461786000905
"58",4.12814742857143,0.0204081632653061,1.40461786000905
"59",4.37454948979592,0.0204081632653061,1.40461786000905
"60",4.62095155102041,0.0204081632653061,1.40461786000905
"61",4.8673536122449,0.0204081632653061,1.40461786000905
"62",5.11375567346939,0.0204081632653061,1.40461786000905
"63",5.36015773469388,0.0204081632653061,1.40461786000905
"64",5.60655979591837,0.0204081632653061,1.40461786000905
"65",5.85296185714286,0.0204081632653061,1.40461786000905
"66",6.09936391836735,0.0204081632653061,1.40461786000905
"67",6.34576597959184,0.0204081632653061,1.40461786000905
"68",6.59216804081633,0.0204081632653061,1.40461786000905
"69",6.83857010204082,0.0204081632653061,1.40461786000905
"70",7.08497216326531,0.0204081632653061,1.40461786000905
"71",7.3313742244898,0.0204081632653061,1.40461786000905
"72",7.57777628571429,0.0204081632653061,1.40461786000905
"73",7.82417834693878,0.0204081632653061,1.40461786000905
"74",8.07058040816327,0.0204081632653061,1.40461786000905
"75",8.31698246938775,0.0204081632653061,1.40461786000905
"76",8.56338453061224,0.0204081632653061,1.40461786000905
"77",8.80978659183673,0.0204081632653061,1.40461786000905
"78",9.05618865306122,0.0204081632653061,1.44187886033257
"79",9.30259071428571,0.0204081632653061,1.55267753023151
"80",9.5489927755102,0.0204081632653061,1.55267753023151
"81",9.79539483673469,0.0204081632653061,1.54763862122228
"82",10.0417968979592,0.0204081632653061,1.23730203681284
"83",10.2881989591837,0.0204081632653061,1.23730203681284
"84",10.5346010204082,0.0204081632653061,1.23393827299171
"85",10.7810030816327,0.0204081632653061,1.12467883092728
"86",11.0274051428571,0.0204081632653061,1.28413314128897
"87",11.2738072040816,0.0204081632653061,1.25277940420758
"88",11.5202092653061,0.0204081632653061,1.27009310578622
"89",11.7666113265306,0.0204081632653061,1.33813239079952
"90",12.0130133877551,0.0204081632653061,1.38562983238056
"91",12.2594154489796,0.0204081632653061,1.38562983238056
"92",12.5058175102041,0.0204081632653061,1.3267512369524
"93",12.7522195714286,0.0204081632653061,1.3267512369524
"94",12.9986216326531,0.0204081632653061,1.3267512369524
"95",13.2450236938776,0.0204081632653061,1.3267512369524
"96",13.491425755102,0.0204081632653061,1.3267512369524
"97",13.7378278163265,0.0204081632653061,1.3267512369524
"98",13.984229877551,0.0204081632653061,1.3267512369524
"99",14.2306319387755,0.0204081632653061,1.3267512369524
"100",14.477034,0.0204081632653061,1.3267512369524
"101",2.403333,0.0408163265306122,1.40461786000905
"102",2.64973506122449,0.0408163265306122,1.40461786000905
"103",2.89613712244898,0.0408163265306122,1.40461786000905
"104",3.14253918367347,0.0408163265306122,1.40461786000905
"105",3.38894124489796,0.0408163265306122,1.40461786000905
"106",3.63534330612245,0.0408163265306122,1.40461786000905
"107",3.88174536734694,0.0408163265306122,1.40461786000905
"108",4.12814742857143,0.0408163265306122,1.40461786000905
"109",4.37454948979592,0.0408163265306122,1.40461786000905
"110",4.62095155102041,0.0408163265306122,1.40461786000905
"111",4.8673536122449,0.0408163265306122,1.40461786000905
"112",5.11375567346939,0.0408163265306122,1.40461786000905
