"","LON_DD","Ordinal_date","Predicted"
"1",-105.6737137,152,0.964020524754841
"2",-105.672053138776,152,0.964020524754841
"3",-105.670392577551,152,0.964020524754841
"4",-105.668732016327,152,0.964020524754841
"5",-105.667071455102,152,0.964020524754841
"6",-105.665410893878,152,0.964020524754841
"7",-105.663750332653,152,0.964020524754841
"8",-105.662089771429,152,0.964020524754841
"9",-105.660429210204,152,0.964020524754841
"10",-105.65876864898,152,0.843714339008155
"11",-105.657108087755,152,0.843714339008155
"12",-105.655447526531,152,0.843714339008155
"13",-105.653786965306,152,0.843714339008155
"14",-105.652126404082,152,0.823511892574694
"15",-105.650465842857,152,0.823511892574694
"16",-105.648805281633,152,0.754224128728304
"17",-105.647144720408,152,0.754224128728304
"18",-105.645484159184,152,0.754224128728304
"19",-105.643823597959,152,0.754224128728304
"20",-105.642163036735,152,0.754224128728304
"21",-105.64050247551,152,0.767393191664543
"22",-105.638841914286,152,0.767393191664543
"23",-105.637181353061,152,0.767393191664543
"24",-105.635520791837,152,0.767393191664543
"25",-105.633860230612,152,0.80080955003168
"26",-105.632199669388,152,0.80080955003168
"27",-105.630539108163,152,0.80080955003168
"28",-105.628878546939,152,0.80080955003168
"29",-105.627217985714,152,0.80080955003168
"30",-105.62555742449,152,0.80080955003168
"31",-105.623896863265,152,0.80080955003168
"32",-105.622236302041,152,0.962444938482226
"33",-105.620575740816,152,0.962444938482226
"34",-105.618915179592,152,0.962444938482226
"35",-105.617254618367,152,0.921725264151054
"36",-105.615594057143,152,0.921725264151054
"37",-105.613933495918,152,0.921725264151054
"38",-105.612272934694,152,0.921725264151054
"39",-105.610612373469,152,0.921725264151054
"40",-105.608951812245,152,0.921725264151054
"41",-105.60729125102,152,0.921725264151054
"42",-105.605630689796,152,0.921725264151054
"43",-105.603970128571,152,0.921725264151054
"44",-105.602309567347,152,0.921725264151054
"45",-105.600649006122,152,0.921725264151054
"46",-105.598988444898,152,0.921725264151054
"47",-105.597327883673,152,0.921725264151054
"48",-105.595667322449,152,0.921725264151054
"49",-105.594006761224,152,0.921725264151054
"50",-105.5923462,152,0.921725264151054
"51",-105.6737137,154.326530612245,0.964020524754841
"52",-105.672053138776,154.326530612245,0.964020524754841
"53",-105.670392577551,154.326530612245,0.964020524754841
"54",-105.668732016327,154.326530612245,0.964020524754841
"55",-105.667071455102,154.326530612245,0.964020524754841
"56",-105.665410893878,154.326530612245,0.964020524754841
"57",-105.663750332653,154.326530612245,0.964020524754841
"58",-105.662089771429,154.326530612245,0.964020524754841
"59",-105.660429210204,154.326530612245,0.964020524754841
"60",-105.65876864898,154.326530612245,0.843714339008155
"61",-105.657108087755,154.326530612245,0.843714339008155
"62",-105.655447526531,154.326530612245,0.843714339008155
"63",-105.653786965306,154.326530612245,0.843714339008155
"64",-105.652126404082,154.326530612245,0.823511892574694
"65",-105.650465842857,154.326530612245,0.823511892574694
"66",-105.648805281633,154.326530612245,0.754224128728304
"67",-105.647144720408,154.326530612245,0.754224128728304
"68",-105.645484159184,154.326530612245,0.754224128728304
"69",-105.643823597959,154.326530612245,0.754224128728304
"70",-105.642163036735,154.326530612245,0.754224128728304
"71",-105.64050247551,154.326530612245,0.767393191664543
"72",-105.638841914286,154.326530612245,0.767393191664543
"73",-105.637181353061,154.326530612245,0.767393191664543
"74",-105.635520791837,154.326530612245,0.767393191664543
"75",-105.633860230612,154.326530612245,0.80080955003168
"76",-105.632199669388,154.326530612245,0.80080955003168
"77",-105.630539108163,154.326530612245,0.80080955003168
"78",-105.628878546939,154.326530612245,0.80080955003168
"79",-105.627217985714,154.326530612245,0.80080955003168
"80",-105.62555742449,154.326530612245,0.80080955003168
"81",-105.623896863265,154.326530612245,0.80080955003168
"82",-105.622236302041,154.326530612245,0.962444938482226
"83",-105.620575740816,154.326530612245,0.962444938482226
"84",-105.618915179592,154.326530612245,0.962444938482226
"85",-105.617254618367,154.326530612245,0.921725264151054
"86",-105.615594057143,154.326530612245,0.921725264151054
"87",-105.613933495918,154.326530612245,0.921725264151054
"88",-105.612272934694,154.326530612245,0.921725264151054
"89",-105.610612373469,154.326530612245,0.921725264151054
"90",-105.608951812245,154.326530612245,0.921725264151054
"91",-105.60729125102,154.326530612245,0.921725264151054
"92",-105.605630689796,154.326530612245,0.921725264151054
"93",-105.603970128571,154.326530612245,0.921725264151054
"94",-105.602309567347,154.326530612245,0.921725264151054
"95",-105.600649006122,154.326530612245,0.921725264151054
"96",-105.598988444898,154.326530612245,0.921725264151054
"97",-105.597327883673,154.326530612245,0.921725264151054
"98",-105.595667322449,154.326530612245,0.921725264151054
"99",-105.594006761224,154.326530612245,0.921725264151054
"100",-105.5923462,154.326530612245,0.921725264151054
"101",-105.6737137,156.65306122449,0.964020524754841
"102",-105.672053138776,156.65306122449,0.964020524754841
"103",-105.670392577551,156.65306122449,0.964020524754841
"104",-105.668732016327,156.65306122449,0.964020524754841
"105",-105.667071455102,156.65306122449,0.964020524754841
"106",-105.665410893878,156.65306122449,0.964020524754841
"107",-105.663750332653,156.65306122449,0.964020524754841
"108",-105.662089771429,156.65306122449,0.964020524754841
"109",-105.660429210204,156.65306122449,0.964020524754841
"110",-105.65876864898,156.65306122449,0.843714339008155
"111",-105.657108087755,156.65306122449,0.843714339008155
"112",-105.655447526531,156.65306122449,0.843714339008155
"113",-105.653786965306,156.65306122449,0.843714339008155
"114",-105.652126404082,156.65306122449,0.823511892574694
"115",-105.650465842857,156.65306122449,0.823511892574694
"116",-105.648805281633,156.65306122449,0.754224128728304
