"","tmean_day","lake_perc_area","Predicted"
"1",5.619,0.48,0.50544649198748
"2",5.83942857142857,0.48,0.50544649198748
"3",6.05985714285714,0.48,0.50544649198748
"4",6.28028571428571,0.48,0.50544649198748
"5",6.50071428571429,0.48,0.50544649198748
"6",6.72114285714286,0.48,0.50544649198748
"7",6.94157142857143,0.48,0.50544649198748
"8",7.162,0.48,0.50544649198748
"9",7.38242857142857,0.48,0.50544649198748
"10",7.60285714285714,0.48,0.50544649198748
"11",7.82328571428571,0.48,0.50544649198748
"12",8.04371428571429,0.48,0.50544649198748
"13",8.26414285714286,0.48,0.50544649198748
"14",8.48457142857143,0.48,0.50544649198748
"15",8.705,0.48,0.50544649198748
"16",8.92542857142857,0.48,0.50544649198748
"17",9.14585714285714,0.48,0.50544649198748
"18",9.36628571428571,0.48,0.50544649198748
"19",9.58671428571429,0.48,0.50544649198748
"20",9.80714285714286,0.48,0.530656793050784
"21",10.0275714285714,0.48,0.530656793050784
"22",10.248,0.48,0.530656793050784
"23",10.4684285714286,0.48,0.530656793050784
"24",10.6888571428571,0.48,0.530656793050784
"25",10.9092857142857,0.48,0.530656793050784
"26",11.1297142857143,0.48,0.560940974536279
"27",11.3501428571429,0.48,0.613421946380102
"28",11.5705714285714,0.48,0.633507363253156
"29",11.791,0.48,0.633507363253156
"30",12.0114285714286,0.48,0.633507363253156
"31",12.2318571428571,0.48,0.633507363253156
"32",12.4522857142857,0.48,0.633507363253156
"33",12.6727142857143,0.48,0.675755474652454
"34",12.8931428571429,0.48,0.675755474652454
"35",13.1135714285714,0.48,0.664933766293377
"36",13.334,0.48,0.567539709004532
"37",13.5544285714286,0.48,0.567539709004532
"38",13.7748571428571,0.48,0.567539709004532
"39",13.9952857142857,0.48,0.543406947692225
"40",14.2157142857143,0.48,0.543406947692225
"41",14.4361428571429,0.48,0.543406947692225
"42",14.6565714285714,0.48,0.543406947692225
"43",14.877,0.48,0.543406947692225
"44",15.0974285714286,0.48,0.543406947692225
"45",15.3178571428571,0.48,0.543406947692225
"46",15.5382857142857,0.48,0.543406947692225
"47",15.7587142857143,0.48,0.543406947692225
"48",15.9791428571429,0.48,0.543406947692225
"49",16.1995714285714,0.48,0.543406947692225
"50",16.42,0.48,0.543406947692225
"51",5.619,0.680204081632653,0.50544649198748
"52",5.83942857142857,0.680204081632653,0.50544649198748
"53",6.05985714285714,0.680204081632653,0.50544649198748
"54",6.28028571428571,0.680204081632653,0.50544649198748
"55",6.50071428571429,0.680204081632653,0.50544649198748
"56",6.72114285714286,0.680204081632653,0.50544649198748
"57",6.94157142857143,0.680204081632653,0.50544649198748
"58",7.162,0.680204081632653,0.50544649198748
"59",7.38242857142857,0.680204081632653,0.50544649198748
"60",7.60285714285714,0.680204081632653,0.50544649198748
"61",7.82328571428571,0.680204081632653,0.50544649198748
"62",8.04371428571429,0.680204081632653,0.50544649198748
"63",8.26414285714286,0.680204081632653,0.50544649198748
"64",8.48457142857143,0.680204081632653,0.50544649198748
"65",8.705,0.680204081632653,0.50544649198748
"66",8.92542857142857,0.680204081632653,0.50544649198748
"67",9.14585714285714,0.680204081632653,0.50544649198748
"68",9.36628571428571,0.680204081632653,0.50544649198748
"69",9.58671428571429,0.680204081632653,0.50544649198748
"70",9.80714285714286,0.680204081632653,0.530656793050784
"71",10.0275714285714,0.680204081632653,0.530656793050784
"72",10.248,0.680204081632653,0.530656793050784
"73",10.4684285714286,0.680204081632653,0.530656793050784
"74",10.6888571428571,0.680204081632653,0.530656793050784
"75",10.9092857142857,0.680204081632653,0.530656793050784
"76",11.1297142857143,0.680204081632653,0.560940974536279
"77",11.3501428571429,0.680204081632653,0.613421946380102
"78",11.5705714285714,0.680204081632653,0.633507363253156
"79",11.791,0.680204081632653,0.633507363253156
"80",12.0114285714286,0.680204081632653,0.633507363253156
"81",12.2318571428571,0.680204081632653,0.633507363253156
"82",12.4522857142857,0.680204081632653,0.633507363253156
"83",12.6727142857143,0.680204081632653,0.675755474652454
"84",12.8931428571429,0.680204081632653,0.675755474652454
"85",13.1135714285714,0.680204081632653,0.664933766293377
"86",13.334,0.680204081632653,0.567539709004532
"87",13.5544285714286,0.680204081632653,0.567539709004532
"88",13.7748571428571,0.680204081632653,0.567539709004532
"89",13.9952857142857,0.680204081632653,0.543406947692225
"90",14.2157142857143,0.680204081632653,0.543406947692225
"91",14.4361428571429,0.680204081632653,0.543406947692225
"92",14.6565714285714,0.680204081632653,0.543406947692225
"93",14.877,0.680204081632653,0.543406947692225
"94",15.0974285714286,0.680204081632653,0.543406947692225
"95",15.3178571428571,0.680204081632653,0.543406947692225
"96",15.5382857142857,0.680204081632653,0.543406947692225
"97",15.7587142857143,0.680204081632653,0.543406947692225
"98",15.9791428571429,0.680204081632653,0.543406947692225
"99",16.1995714285714,0.680204081632653,0.543406947692225
"100",16.42,0.680204081632653,0.543406947692225
"101",5.619,0.880408163265306,0.696844428516021
"102",5.83942857142857,0.880408163265306,0.696844428516021
"103",6.05985714285714,0.880408163265306,0.696844428516021
"104",6.28028571428571,0.880408163265306,0.696844428516021
"105",6.50071428571429,0.880408163265306,0.696844428516021
"106",6.72114285714286,0.880408163265306,0.696844428516021
"107",6.94157142857143,0.880408163265306,0.696844428516021
"108",7.162,0.880408163265306,0.696844428516021
"109",7.38242857142857,0.880408163265306,0.696844428516021
"110",7.60285714285714,0.880408163265306,0.696844428516021
"111",7.82328571428571,0.880408163265306,0.696844428516021
"112",8.04371428571429,0.880408163265306,0.696844428516021
