"var","rel.inf"
"TEMP",13.2938384119317
"lake_perc_area",12.0909124901655
"NO3_N",11.3450568451663
"ppt_week",11.1368816939688
"NtoP",10.8754303839117
"TDP_P",8.28195509973853
"max_depth_m",6.72787337939089
"snow2011",5.09276861982325
"tmean_month",4.44663081338256
"BIOTITE_GNEISS_PCT",3.4434004333388
"tmean_day",3.16579211533999
"Difference_SnowFree",2.85028750217298
"radSUM",2.36716687282122
"LON_DD",2.12011268008765
"ppt_day",1.75490554518879
"Max_SWE",0.538892638856958
"FISH",0.468094474714305
