"","lake_perc_area","max_depth_m","Predicted"
"1",0.48,1.8,0.43649371114875
"2",0.680204081632653,1.8,0.43649371114875
"3",0.880408163265306,1.8,0.627891647677291
"4",1.08061224489796,1.8,0.627891647677291
"5",1.28081632653061,1.8,0.811777338356785
"6",1.48102040816327,1.8,0.830486370648533
"7",1.68122448979592,1.8,0.865829433819514
"8",1.88142857142857,1.8,0.904564864849217
"9",2.08163265306122,1.8,0.974309942905592
"10",2.28183673469388,1.8,0.993486026883673
"11",2.48204081632653,1.8,0.993486026883673
"12",2.68224489795918,1.8,0.993486026883673
"13",2.88244897959184,1.8,0.993486026883673
"14",3.08265306122449,1.8,0.993486026883673
"15",3.28285714285714,1.8,0.993486026883673
"16",3.4830612244898,1.8,0.993486026883673
"17",3.68326530612245,1.8,0.993486026883673
"18",3.8834693877551,1.8,0.993486026883673
"19",4.08367346938775,1.8,0.993486026883673
"20",4.28387755102041,1.8,0.993486026883673
"21",4.48408163265306,1.8,0.993486026883673
"22",4.68428571428571,1.8,0.993486026883673
"23",4.88448979591837,1.8,0.993486026883673
"24",5.08469387755102,1.8,0.993486026883673
"25",5.28489795918367,1.8,0.993486026883673
"26",5.48510204081633,1.8,0.993486026883673
"27",5.68530612244898,1.8,0.993486026883673
"28",5.88551020408163,1.8,0.993486026883673
"29",6.08571428571429,1.8,0.993486026883673
"30",6.28591836734694,1.8,0.993486026883673
"31",6.48612244897959,1.8,0.993486026883673
"32",6.68632653061225,1.8,0.993486026883673
"33",6.8865306122449,1.8,0.993486026883673
"34",7.08673469387755,1.8,0.993486026883673
"35",7.2869387755102,1.8,0.993486026883673
"36",7.48714285714286,1.8,0.993486026883673
"37",7.68734693877551,1.8,0.993486026883673
"38",7.88755102040816,1.8,0.993486026883673
"39",8.08775510204082,1.8,0.993486026883673
"40",8.28795918367347,1.8,0.993486026883673
"41",8.48816326530612,1.8,0.993486026883673
"42",8.68836734693878,1.8,0.993486026883673
"43",8.88857142857143,1.8,0.993486026883673
"44",9.08877551020408,1.8,0.993486026883673
"45",9.28897959183673,1.8,0.993486026883673
"46",9.48918367346939,1.8,0.993486026883673
"47",9.68938775510204,1.8,0.993486026883673
"48",9.88959183673469,1.8,0.993486026883673
"49",10.0897959183673,1.8,0.993486026883673
"50",10.29,1.8,0.993486026883673
"51",0.48,2.62040816326531,0.43649371114875
"52",0.680204081632653,2.62040816326531,0.43649371114875
"53",0.880408163265306,2.62040816326531,0.627891647677291
"54",1.08061224489796,2.62040816326531,0.627891647677291
"55",1.28081632653061,2.62040816326531,0.811777338356785
"56",1.48102040816327,2.62040816326531,0.830486370648533
"57",1.68122448979592,2.62040816326531,0.865829433819514
"58",1.88142857142857,2.62040816326531,0.904564864849217
"59",2.08163265306122,2.62040816326531,0.974309942905592
"60",2.28183673469388,2.62040816326531,0.993486026883673
"61",2.48204081632653,2.62040816326531,0.993486026883673
"62",2.68224489795918,2.62040816326531,0.993486026883673
"63",2.88244897959184,2.62040816326531,0.993486026883673
"64",3.08265306122449,2.62040816326531,0.993486026883673
"65",3.28285714285714,2.62040816326531,0.993486026883673
"66",3.4830612244898,2.62040816326531,0.993486026883673
"67",3.68326530612245,2.62040816326531,0.993486026883673
"68",3.8834693877551,2.62040816326531,0.993486026883673
"69",4.08367346938775,2.62040816326531,0.993486026883673
"70",4.28387755102041,2.62040816326531,0.993486026883673
"71",4.48408163265306,2.62040816326531,0.993486026883673
"72",4.68428571428571,2.62040816326531,0.993486026883673
"73",4.88448979591837,2.62040816326531,0.993486026883673
"74",5.08469387755102,2.62040816326531,0.993486026883673
"75",5.28489795918367,2.62040816326531,0.993486026883673
"76",5.48510204081633,2.62040816326531,0.993486026883673
"77",5.68530612244898,2.62040816326531,0.993486026883673
"78",5.88551020408163,2.62040816326531,0.993486026883673
"79",6.08571428571429,2.62040816326531,0.993486026883673
"80",6.28591836734694,2.62040816326531,0.993486026883673
"81",6.48612244897959,2.62040816326531,0.993486026883673
"82",6.68632653061225,2.62040816326531,0.993486026883673
"83",6.8865306122449,2.62040816326531,0.993486026883673
"84",7.08673469387755,2.62040816326531,0.993486026883673
"85",7.2869387755102,2.62040816326531,0.993486026883673
"86",7.48714285714286,2.62040816326531,0.993486026883673
"87",7.68734693877551,2.62040816326531,0.993486026883673
"88",7.88755102040816,2.62040816326531,0.993486026883673
"89",8.08775510204082,2.62040816326531,0.993486026883673
"90",8.28795918367347,2.62040816326531,0.993486026883673
"91",8.48816326530612,2.62040816326531,0.993486026883673
"92",8.68836734693878,2.62040816326531,0.993486026883673
"93",8.88857142857143,2.62040816326531,0.993486026883673
"94",9.08877551020408,2.62040816326531,0.993486026883673
"95",9.28897959183673,2.62040816326531,0.993486026883673
"96",9.48918367346939,2.62040816326531,0.993486026883673
"97",9.68938775510204,2.62040816326531,0.993486026883673
"98",9.88959183673469,2.62040816326531,0.993486026883673
"99",10.0897959183673,2.62040816326531,0.993486026883673
