"","TDP_P","NO3_N","Predicted"
"1",0.31,0.002,1.55609139997386
"2",0.564897959183673,0.002,1.55609139997386
"3",0.819795918367347,0.002,1.55609139997386
"4",1.07469387755102,0.002,1.55609139997386
"5",1.32959183673469,0.002,1.4600370382845
"6",1.58448979591837,0.002,1.31229435321602
"7",1.83938775510204,0.002,1.30152644140313
"8",2.09428571428571,0.002,1.34276446972487
"9",2.34918367346939,0.002,1.48159795473545
"10",2.60408163265306,0.002,1.50259814569062
"11",2.85897959183673,0.002,1.50259814569062
"12",3.11387755102041,0.002,1.50259814569062
"13",3.36877551020408,0.002,1.53443911450843
"14",3.62367346938776,0.002,1.55001523171076
"15",3.87857142857143,0.002,1.54448712002928
"16",4.1334693877551,0.002,1.54448712002928
"17",4.38836734693878,0.002,1.58311990362826
"18",4.64326530612245,0.002,1.58311990362826
"19",4.89816326530612,0.002,1.58311990362826
"20",5.1530612244898,0.002,1.58311990362826
"21",5.40795918367347,0.002,1.58311990362826
"22",5.66285714285714,0.002,1.58311990362826
"23",5.91775510204082,0.002,1.58311990362826
"24",6.17265306122449,0.002,1.58311990362826
"25",6.42755102040816,0.002,1.58311990362826
"26",6.68244897959184,0.002,1.58311990362826
"27",6.93734693877551,0.002,1.59801762017979
"28",7.19224489795918,0.002,1.59801762017979
"29",7.44714285714286,0.002,1.59801762017979
"30",7.70204081632653,0.002,1.59801762017979
"31",7.9569387755102,0.002,1.59801762017979
"32",8.21183673469388,0.002,1.59801762017979
"33",8.46673469387755,0.002,1.59801762017979
"34",8.72163265306122,0.002,1.59801762017979
"35",8.9765306122449,0.002,1.59801762017979
"36",9.23142857142857,0.002,1.59801762017979
"37",9.48632653061225,0.002,1.59801762017979
"38",9.74122448979592,0.002,1.59801762017979
"39",9.99612244897959,0.002,1.59801762017979
"40",10.2510204081633,0.002,1.59801762017979
"41",10.5059183673469,0.002,1.59801762017979
"42",10.7608163265306,0.002,1.59801762017979
"43",11.0157142857143,0.002,1.59801762017979
"44",11.270612244898,0.002,1.59801762017979
"45",11.5255102040816,0.002,1.59801762017979
"46",11.7804081632653,0.002,1.59801762017979
"47",12.035306122449,0.002,1.59801762017979
"48",12.2902040816327,0.002,1.59801762017979
"49",12.5451020408163,0.002,1.59801762017979
"50",12.8,0.002,1.59801762017979
"51",0.31,0.0100612244897959,1.55609139997386
"52",0.564897959183673,0.0100612244897959,1.55609139997386
"53",0.819795918367347,0.0100612244897959,1.55609139997386
"54",1.07469387755102,0.0100612244897959,1.55609139997386
"55",1.32959183673469,0.0100612244897959,1.4600370382845
"56",1.58448979591837,0.0100612244897959,1.31229435321602
"57",1.83938775510204,0.0100612244897959,1.30152644140313
"58",2.09428571428571,0.0100612244897959,1.34276446972487
"59",2.34918367346939,0.0100612244897959,1.48159795473545
"60",2.60408163265306,0.0100612244897959,1.50259814569062
"61",2.85897959183673,0.0100612244897959,1.50259814569062
"62",3.11387755102041,0.0100612244897959,1.50259814569062
"63",3.36877551020408,0.0100612244897959,1.53443911450843
"64",3.62367346938776,0.0100612244897959,1.55001523171076
"65",3.87857142857143,0.0100612244897959,1.54448712002928
"66",4.1334693877551,0.0100612244897959,1.54448712002928
"67",4.38836734693878,0.0100612244897959,1.58311990362826
"68",4.64326530612245,0.0100612244897959,1.58311990362826
"69",4.89816326530612,0.0100612244897959,1.58311990362826
"70",5.1530612244898,0.0100612244897959,1.58311990362826
"71",5.40795918367347,0.0100612244897959,1.58311990362826
"72",5.66285714285714,0.0100612244897959,1.58311990362826
"73",5.91775510204082,0.0100612244897959,1.58311990362826
"74",6.17265306122449,0.0100612244897959,1.58311990362826
"75",6.42755102040816,0.0100612244897959,1.58311990362826
"76",6.68244897959184,0.0100612244897959,1.58311990362826
"77",6.93734693877551,0.0100612244897959,1.59801762017979
"78",7.19224489795918,0.0100612244897959,1.59801762017979
"79",7.44714285714286,0.0100612244897959,1.59801762017979
"80",7.70204081632653,0.0100612244897959,1.59801762017979
"81",7.9569387755102,0.0100612244897959,1.59801762017979
"82",8.21183673469388,0.0100612244897959,1.59801762017979
"83",8.46673469387755,0.0100612244897959,1.59801762017979
"84",8.72163265306122,0.0100612244897959,1.59801762017979
"85",8.9765306122449,0.0100612244897959,1.59801762017979
"86",9.23142857142857,0.0100612244897959,1.59801762017979
"87",9.48632653061225,0.0100612244897959,1.59801762017979
"88",9.74122448979592,0.0100612244897959,1.59801762017979
"89",9.99612244897959,0.0100612244897959,1.59801762017979
"90",10.2510204081633,0.0100612244897959,1.59801762017979
"91",10.5059183673469,0.0100612244897959,1.59801762017979
"92",10.7608163265306,0.0100612244897959,1.59801762017979
"93",11.0157142857143,0.0100612244897959,1.59801762017979
"94",11.270612244898,0.0100612244897959,1.59801762017979
"95",11.5255102040816,0.0100612244897959,1.59801762017979
"96",11.7804081632653,0.0100612244897959,1.59801762017979
"97",12.035306122449,0.0100612244897959,1.59801762017979
"98",12.2902040816327,0.0100612244897959,1.59801762017979
"99",12.5451020408163,0.0100612244897959,1.59801762017979
"100",12.8,0.0100612244897959,1.59801762017979
"101",0.31,0.0181224489795918,1.55609139997386
"102",0.564897959183673,0.0181224489795918,1.55609139997386
"103",0.819795918367347,0.0181224489795918,1.55609139997386
"104",1.07469387755102,0.0181224489795918,1.55609139997386
"105",1.32959183673469,0.0181224489795918,1.4600370382845
"106",1.58448979591837,0.0181224489795918,1.31229435321602
"107",1.83938775510204,0.0181224489795918,1.30152644140313
"108",2.09428571428571,0.0181224489795918,1.34276446972487
"109",2.34918367346939,0.0181224489795918,1.48159795473545
"110",2.60408163265306,0.0181224489795918,1.50259814569062
"111",2.85897959183673,0.0181224489795918,1.50259814569062
"112",3.11387755102041,0.0181224489795918,1.50259814569062
