"n.trees","cv.r.squared"
8554,0.61793843328999
9616,0.614463949514418
17453,0.630428407504104
8334,0.55430202788102
11036,0.634197658081347
9486,0.575953377948239
12156,0.623123967799694
12442,0.631901248196456
17342,0.632773636900755
8806,0.604931501454699
12947,0.600632001437364
17418,0.635275418916205
8523,0.618211175671253
5541,0.571843529567683
17405,0.628277518560389
12417,0.605975651456547
8732,0.588039602071135
10918,0.631876327438508
16946,0.599571620462773
17443,0.651119570528805
17453,0.616646170312109
8115,0.625344420393005
8832,0.581224713405528
15211,0.626234646346305
12659,0.621472603009195
9162,0.615807574601759
10565,0.574047206975309
8117,0.623665206974092
14904,0.621701760837681
17457,0.611735100883417
8512,0.574316955924857
12260,0.617082485977986
13883,0.629868749403414
10183,0.615591339646037
17239,0.61339327694828
10128,0.615479548611111
17456,0.615941136523267
9504,0.601856600500317
17458,0.643216714709438
17386,0.599199538115973
15194,0.60030617450318
16877,0.599649785878774
13743,0.619966758132452
9359,0.628993302256591
8652,0.626889968892628
17199,0.610145517225653
7882,0.620692671101387
10970,0.620041025777289
10203,0.616269392995062
13505,0.642537813609727
16909,0.615353508889619
14251,0.601066543147749
16860,0.608466615179297
15913,0.630725304098582
17432,0.631340938594585
8851,0.558721148815376
8714,0.611616719642508
16944,0.618944412685047
8208,0.635442741269287
9528,0.607954312017139
12189,0.621091968468867
8084,0.622176989109113
16505,0.592357499530949
8145,0.56670160548247
15548,0.608809319266657
17442,0.629336443881009
17382,0.649144169017743
10228,0.589844600349321
11029,0.595877676368014
12283,0.63628541447758
10656,0.607380051336802
8425,0.609597998029901
10828,0.563261626351781
10857,0.578754232309955
9804,0.611123577787344
17192,0.582420793633604
9403,0.56055452031999
17346,0.627952684168714
8526,0.603711508011536
15459,0.585459843293638
14423,0.596351370329568
17068,0.641231112690767
8066,0.62499269336196
14514,0.580128189282478
17384,0.627654692202775
17106,0.642913601016337
9086,0.610240201965353
17455,0.610743218868684
17451,0.6037739837957
17402,0.633191699380422
7185,0.569269339724714
9324,0.57186290327694
10546,0.603910936176892
9144,0.537249525777478
9008,0.627926829766248
17407,0.594146237465174
14519,0.614931941515227
10813,0.598424389413435
12173,0.634032037678969
14891,0.620611206684685
