"bf","lr","best.iter","best.iter.sd","cv.r.squared","cv.r.squared.sd"
0.5,5e-04,29978.2,7517.10400501564,0.580441565588271,0.019696015724837
0.6,5e-04,25141,6496.24264051493,0.578506022322053,0.0511568507509966
0.7,5e-04,33438.3,9059.13313304436,0.616888430540704,0.0160035237250298
0.5,0.001,23580.3,10353.7956867142,0.589294374610546,0.0208090074604592
0.6,0.001,16220.9,7460.73996106731,0.598699500065567,0.0304461300748513
0.7,0.001,17458.4,9025.96270273211,0.62426973752031,0.0132169780146038
0.5,0.005,4333.4,4419.13843287228,0.584108096750424,0.0177965595997473
0.6,0.005,2539.7,755.939746276117,0.602572623995134,0.0167419551368849
0.7,0.005,3920.8,3122.23444916546,0.617589269569199,0.0180180555079652
0.5,0.01,3441.2,4653.15285705414,0.567039096561637,0.0285865947686479
0.6,0.01,1275.1,393.020058860444,0.592759542042168,0.0302935196305436
0.7,0.01,1575.9,1093.74600443715,0.605319044697908,0.0236659099691789
0.5,0.05,600.9,677.514485290003,0.562737741768864,0.0269821223206257
0.6,0.05,380.9,299.853464212105,0.585284027050087,0.0241912337737798
0.7,0.05,257.7,127.244340629445,0.595860461531506,0.0150936118185194
0.5,0.1,160.1,58.7904943185735,0.548090560797736,0.0271765293980768
0.6,0.1,239.1,217.1182217646,0.576806405537409,0.0318301936318542
0.7,0.1,259.4,227.168170696904,0.583603405026848,0.0262000744308455
