"bf","lr","best.iter","best.iter.sd","cv.r.squared","cv.r.squared.sd"
0.5,5e-04,39175.5,2044.65744210505,0.597968753244563,0.01131260775556
0.6,5e-04,39912.4,144.207566452743,0.642059164783746,0.0184235060891374
0.7,5e-04,39934.4,94.7642689343756,0.692030993521875,0.0195093007979256
0.5,0.001,38339,4239.84968287006,0.607485277420942,0.0127754185743189
0.6,0.001,37459.1,4255.61371602264,0.650114498626256,0.0223796833070818
0.7,0.001,31816.2,6851.34079010979,0.69925307084289,0.0178836799472021
0.5,0.005,36004.6,8440.37854864605,0.623198794831468,0.0210106816500974
0.6,0.005,11040.9,6089.97557831265,0.643717546586853,0.0152469256158732
0.7,0.005,5901.1,1392.41241096962,0.68253629884249,0.0140358112211282
0.5,0.01,32306.8,14291.6679595723,0.618860797315613,0.0195626233630255
0.6,0.01,9637,10944.5603941968,0.655279904572234,0.0287288689876663
0.7,0.01,3862.7,778.697780485686,0.6822340833102,0.0219132961436447
0.5,0.05,17951.5,16371.45622553,0.602960713414075,0.0256408756683841
0.6,0.05,4666.8,11866.8013831304,0.628440410035201,0.0313507446720534
0.7,0.05,651.4,197.876617000482,0.677304151294151,0.018887532972924
0.5,0.1,13740.4,16772.1355043947,0.5881856063316,0.0181716868335859
0.6,0.1,4716.2,12315.4625013526,0.622071944510709,0.0254238844153526
0.7,0.1,343.2,221.349798584352,0.65218081462318,0.0250817995240122
